Job Title,Positive,Neutral,Negative,Average Sentiment Score,Overall Sentiment
actuarial analyst,2,0,1,2,Neutral
aia wealth management,0,0,1,1,Negative
analyst,1,0,1,2,Neutral
anonymous employee,1,0,0,3,Positive
anonymous intern,1,0,0,3,Positive
anonymous temporary employee,1,0,0,3,Positive
bdm manager,1,0,0,3,Positive
brand analyst,1,0,0,3,Positive
business analyst,0,0,0,3,Positive
busniess analyst and marketing manager,0,0,1,1,Negative
"consultant	",1,0,1,3,Positive
customer service,1,0,0,3,Positive
executive,1,0,0,3,Positive
financial adviser,0,0,1,1,Negative
"financial advisor	",3,4,2,2,Neutral
financial consultant,2,1,1,2,Neutral
financial representative,0,1,0,2,Neutral
financial sales consultant  fsc ,1,0,0,3,Positive
financial service consultant,1,0,0,3,Positive
financial services consultant,2,1,3,2,Neutral
financial services representative,2,1,0,3,Positive
"fsc	",1,0,0,3,Positive
human resources assistant,0,1,0,2,Neutral
insurance agent,1,0,0,3,Positive
internship,0,1,0,2,Neutral
"licensed financial services representative	",0,0,0,3,Positive
marketing specialist,0,0,1,1,Negative
operations,0,1,0,2,Neutral
policy service specialist,0,1,0,2,Neutral
policy servicing,0,1,0,2,Neutral
"pricing actuary	",1,1,0,3,Positive
relationship manager,0,1,0,2,Neutral
sales,1,0,0,3,Positive
sales   marketing,0,0,1,1,Negative
sales associate,0,0,1,1,Negative
sales manager,1,0,0,3,Positive
senior financial consultant,0,1,0,2,Neutral
senior manager,0,1,0,2,Neutral
specialist,0,0,1,1,Negative
team lead,1,0,0,3,Positive
technical analyst,1,0,0,3,Positive
telemarketer,1,0,0,3,Positive
telesales executive,0,1,0,2,Neutral
test analyst,1,0,0,3,Positive
