Job Title,Positive,Negative,Neutral,Total Score,Overall Sentiment,,,,
market manager  global operations,1,1,0,2,Neutral,,,,
account manager,1,0,0,3,Positive,,,,
account specialist,5,0,0,3,Positive,,,,
analyst,0,0,1,2,Neutral,,,,
anonymous employee,1,0,0,3,Positive,,,,
business analyst,2,0,1,3,Positive,,,,
business development,0,1,0,1,Negative,,,,
business engineer,1,0,0,3,Positive,,,,
business planning and operations,2,0,0,3,Positive,,,,
client partner,1,0,0,3,Positive,,,,
client service associate,2,0,0,3,Positive,,,,
client solutions manager,0,0,1,2,Neutral,,,,
community escalations specialist,1,0,0,3,Positive,,,,
crisis response analyst,1,0,0,3,Positive,,,,
data engineer,0,1,0,1,Negative,,,,
data scientist,0,0,0,3,Positive,,,,
"enterprise engineer	",1,0,0,3,Positive,,,,
enterprise support engineer,2,0,0,3,Positive,,,,
executive,1,0,0,3,Positive,,,,
"finance	",1,0,0,3,Positive,,,,
finance manager,0,1,0,1,Negative,,,,
finance operations,0,0,1,2,Neutral,,,,
"head of data science	",0,1,0,1,Negativ,,,,
head of public policy,1,0,0,3,Positive,,,,
insights manager,1,0,0,3,Positive,,,,
intern,1,0,0,3,Positive,,,,
internal recruiter,0,0,1,2,Neutral,,,,
it support,0,0,1,2,Neutral,,,,
leadership recruiter,0,1,0,1,Negativ,,,,
learning and development specialist,1,0,0,3,Positive,,,,
manager,1,0,0,3,Positive,,,,
marketing director,0,0,1,2,Neutral,,,,
marketing lead,0,0,1,2,Neutral,,,,
marketing science partner,1,0,0,3,Positive,,,,
marketing specialist,1,0,0,3,Positive,,,,
operations,1,0,0,3,Positive,,,,
operations manager,1,0,0,3,Positive,,,,
operations project manager,0,1,0,1,Negative,,,,
outreach manager,1,0,0,3,Positive,,,,
partner manager,1,0,0,3,Positive,,,,
partner operations manager,2,0,0,3,Positive,,,,
partnership manager,0,0,1,2,Neutral,,,,
partnerships manager,1,0,0,3,Positive,,,,
product designer,1,0,0,3,Positive,,,,
"program manager	",1,0,0,3,Positive,,,,
public policy manager,1,0,0,3,Positive,,,,
quality operations program manager,1,0,0,3,Positive,,,,
reception lead,1,0,0,3,Positive,,,,
recruiter,0,1,0,1,Negative,,,,
region lead,0,0,1,2,Neutral,,,,
regional manager,0,0,0,3,Positive,,,,
regulatory operations specialist,0,1,0,1,Negative,,,,
research lead,0,0,1,2,Neutral,,,,
risk analyst,0,0,0,3,Positive,,,,
sales,0,1,0,1,Negative,,,,
sales representative,0,0,1,2,Neutral,,,,
security officer,1,0,0,3,Positive,,,,
senior enterprise engineer,0,0,1,2,Neutral,,,,
senior strategic partner manager,1,0,0,3,Positive,,,,
software engineer,1,0,0,3,Positive,,,,
software engineer intern,8,0,0,3,Positive,,,,
software engineer internship,2,0,0,3,Positive,,,,
software engneering intenr,1,0,0,3,Positive,,,,
software enigneer,0,1,0,1,Negative,,,,
solutions consultant,1,0,0,3,Positive,,,,
solutions engineer,0,0,1,2,Neutral,,,,
strategic partner manager,2,0,0,3,Positive,,,,
strategic partnerships manager,3,0,0,3,Positive,,,,
technical program manager,0,1,0,1,Negative,,,,
technical recruiter,0,1,0,1,Negative,,,,
technical sourcer,1,0,1,3,Positive,,,,
temp taker,1,0,0,3,Positive,,,,
Technical,0,0,1,2,Neutral,,,,
