	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Good	 Vendor Acquisition	9 Mar 2023	4.0	Competitive colleagues Great Managers Always have free food Always upgrading seller tools	Toxic workplace Favoritism Unfair in salary
1	Good company with environment friendly , fast pace	 Buyer	8 Mar 2023	5.0	Good company with environment friendly , fast pace	having many roles need to reporting to, regional and local
2	avg	 Digital Designer	7 Mar 2023	4.0	alot fun events/workshop to attend	change of employee job scope
3	Good	 Internship	6 Mar 2023	4.0	Good like environment, opportunity, co worker	i dont know for sure
4	Good experience	 Senior Associate	4 Mar 2023	4.0	Fast pace so you will never get bored, changing roles often within the team. You will have sufficient chances to grow in many aspects if you ask for it and get things done of course.	Promotion can be fast for certain people, if you are not the lucky one then better hop to another job. E-commerce business dwindling post mco, expect the benefits and bonus to shrink too
5	Great place to grow	 Content Creator	24 Feb 2023	4.0	Great environment, people team takes good care of employees	Crazy deadlines and expectations which can be exhausting to achieve
6	Learn from the best e-comm professionals	 Category Manager	20 Feb 2023	5.0	- Fast-paced culture - Best in class in e-commerce execution - Company that is hungry for success	- No work-life balance (most of the time)
7	Good environment to work	 Key Account Manager (KAM)	18 Feb 2023	4.0	Good environment, learn many things	Company regulation pros to buyers even if they’re wrong
8	Change is the only constant	 Graphic Designer	16 Feb 2023	1.0	Friendly colleague, love the people	Too unsystematic, the structure is messy that makes u hard to plan your work ahead of time, everything too last min, no proper task and briefing, you need to learn while working, less guidance, too many groups and too many thing happen in the same time, things are not approve and is handed to you to do, makes you double work. Need to wait for approval during working hours, after working hours u need to rush and work.
9	Salary	 Head of Commercial Planning	16 Feb 2023	5.0	- culture, colleagues, office, perks, benefits	- work hours, travel, ambiguity, chaos
10	Apply Job	 Customer Representative	15 Feb 2023	5.0	Good charm pro active joyous	Excel proficient strong resilient joyous
11	not paying much	 Key Account Manager (KAM)	15 Feb 2023	2.0	nothing can impressed me here	too many to be listed
12	good	 Associate Strategy & Planning	14 Feb 2023	3.0	good facility, environments, employees, employers	far, hard to get promotions,
13	Toxic chinese culture that does not value work	 Anonymous Employee	14 Feb 2023	3.0	Located in CBD. Karaoke room	"Toxic chinese culture that does not value work and you. 
Work passed to chinese colleagues to use for their promotion.
Bosses do not know how to do the job and pretend to know by scolding to show HR that they are capable.
Departments outdo one another that they are better. 
Organisation that goes around finding faults on daily basis to outdo and decrease salaries."
14	My own experience	 Market Solutions Analyst	14 Feb 2023	4.0	Colleague are very friendly and helpful.	Still not match with my interest
15	Great	 IT Senior Manager	13 Feb 2023	5.0	competitive salary, good working environment	frequent reorg, high attrition rate
16	Fast paced environment	 Analyst	13 Feb 2023	3.0	exposure to alot of different area	no work life balance overtime on weekend
