	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Aia	 Financial Service Consultant	11 Mar 2023	5.0	Good,hard job but rewarding work	Very hard,not for everyone,need resilience.
1	Healthier Longer Better Life	 Consultant	3 Mar 2023	4.0	Great place with great colleagues	Below average annual salary increment
2	For those with Grit and Passion	 Financial Advisor	28 Feb 2023	4.0	Depends on which agency you are working under. If you are lucky your agency will support you all the way.	Some agency will just will just let you be with no support and that is why the turnover rate is high. Which is why you need GRIT.
3	Working Enviroment	 BusniessAnalyst and Marketing Manager	28 Feb 2023	5.0	A good place to start off your career. Learn a lot of new tools. Good Manager	Often old staff will be neglected Low pay
4	colleagues is good higher management bad	 Customer Service	27 Feb 2023	1.0	Team on the ground good	Higher management does not care about below
5	Good Support from the company	 Financial Consultant	27 Feb 2023	4.0	Senior Management does take your feedback into account	The benefits from the company are not that great
6	Salary	 Analyst	18 Feb 2023	4.0	Conducive place with nice environment	Normal benefit and welfare as compared to other big firm
7	How I lost money working 2 years at AIA	 Financial Services Consultant	15 Feb 2023	1.0	decent incentives/bonus (only if you do well)	"I had to pay back my ""Basic"" salary after 2 years because I did not hit this thing called persistency when my contract ended. It was really tough and I did not make the cut because some people cancelled their plans due to covid which affected my performance. As a result I made a total negative loss on my income for 2 years, and ended being in debt to the company despite working for them. Meanwhile other agents are producing ""fake cases"" and abusing a loophole in the system and getting away with it with loads of cash. And honest agents that don't do well suffer all the backlash. I wrote in to appeal and my case was rejected as well."
8	asdfasdfasd	 Financial Services Representative	4 Feb 2023	4.0	very flexible work life balance	not many cons from what i know
9	Very nice	 Pricing Actuary	27 Jan 2023	5.0	Very very very very nice	actually I cannot find any cons
10	AIA FSC Income	 Financial Consultant	21 Jan 2023	5.0	Good money and overseas trips	Commission based and this job is not for someone who doesn’t like sales.
11	flexible	 Financial Representative	18 Jan 2023	3.0	flexible with work life balance	not concise and clear with the contract
12	Great culture of teamwork and collaboration	 Executive	13 Jan 2023	5.0	Corporate Solutions team has a great culture of teamwork and collaboration. Leaders are results driven, whilst willing to mentor juniors and caring. Colleagues are willing to help each other. If you are the employee benefits industry, you need a stint at AIA because their portfolio is large and you will gain a lot of experience quickly.	Volume is heavy and pace is fast. This is a place for the driven to prove themselves professionally and be rewarded. Not for faint hearted.
13	Corporate Solutions - Good leadership and support from different department	 Sales & Marketing	14 Dec 2022	5.0	Bosses are good and are there to assist and help if in doubt or need guidance. You know you can approach them without being push away or handle on our own. Colleagues are supportive and communication is the key. Once they said, ask and you will be given. We are there to solve issues together, not finger pointing.	Despite from high volume of work, it is a good place to work
14	People are great!	 Internship	12 Dec 2022	4.0	The company's culture is good	Growth is stagnant and routined
15	Salary consultation	 Pricing Actuary	30 Nov 2022	3.0	It is a very self satisfaction career	There is pressure in work deadline
16	Hybrid working does not exist	 Specialist	26 Nov 2022	2.0	Pay as per market rate.	Hybrid working model does not exist even though claimed so. checking done to verify if you are in office for the week. Imposed mandatory specific days you have to be in office too. This seems to be no trust in staff for WFH.
17	Part-Time FSC	 Financial Services Consultant	22 Nov 2022	4.0	Good compensation if you really hit your targets.	Daily stress of getting commissions
18	Overall enjoyable condition but WFH policy gets reduced	 Marketing Specialist	15 Nov 2022	4.0	-Family-oriented team members (depends on how you like it) -For me, lots of areas for growth due to variety of project nature -Flexible working hours	-WFH gets reduced (from 5 days to 4 and now 3 days WFH) -Can be quite traditional mindset or ways of working... -Most of the staffs are middle-aged. If you prefer a young dynamic vibe to it, this might not be for you
19	Good	 Telesales Executive	12 Nov 2022	5.0	Had a good time there good environment	Cannot work from home Many training
20	Good place for learning	 Financial Services Representative	5 Nov 2022	5.0	Get to learn a lot and build up your confidence.	Have to hit sales target given.
21	Efficiency in backend customer service and claims process	 Financial Consultant	3 Nov 2022	5.0	Easy to use, all in one platform for consultants to service clients & answer clients' queries. Claims are paid out promptly, client satisfaction ensure continuity in business.	Too many Financial consultants, low barrier for incompetent advisors.
22	Bad	 Consultant	27 Oct 2022	1.0	Nothing, I wish there were , but unfortunately nothing	Bad culture and poor compensation.. dog life
23	ok	 Test Analyst	27 Oct 2022	3.0	Simple task with minimum skillset	no progression or growth in career
24	great place to work	 Financial Sales Consultant (FSC)	19 Oct 2022	5.0	great place to work, friendly staff	nothing so far which i have encountered
25	Work life balance	 BDM Manager	17 Oct 2022	4.0	Work life balance and CEO is approachable	Can have more employee benefits
26	working environment	 FSC	6 Oct 2022	4.0	Flexible working hour and Friendly Colleague	Hard to find lead and high costing
27	discipline	 Financial Consultant	5 Oct 2022	4.0	flexible working hours, able to do what you love outside of work	fully comms based, if you make it then good.
28	Review for Financial Advisors	 Financial Advisor	2 Oct 2022	4.0	Efforts are proportional to income potential.	Steep learning curve and must be able to handle rejections.
29	Great benefits	 Financial Advisor	1 Oct 2022	4.0	Make your own arrangements for business , great compensation scheme	Tough industry to do well and excel
30	great colleagues, hectic environment	 Anonymous Employee	28 Sep 2022	3.0	great camaraderie among colleagues, good office location	huge workload leading to frequent overtimes
31	Caring environment	 Executive	12 Sep 2022	5.0	Great environment to work in, they take care of their staff	Not as yet. Everything is good
32	Good Working Environment	 Actuarial Analyst	4 Sep 2022	5.0	Great colleague with fun of activities	Below par salary package and work from home, so less chance to interact with colleague
33	Quite mature workers, salary not competitive	 Assistant Manager	26 Aug 2022	3.0	Generally okay depend on ur team	Quite traditional and abit boring
34	Self-reflection of Snr Mgt is a Neccesity	 Actuarial Analyst	19 Aug 2022	3.0	No comments for the moment	High turnover is an issue
35	Pros for working as financial advisor	 Financial Advisor	19 Aug 2022	4.0	Flexi hours, good training programme	Sales, Quotas, mandatory, training,cold calls
36	Nil	 Financial Services Consultant	15 Aug 2022	4.0	Flexible working hour and unlimited days of leave	Sales target to meet and sales driven
37	Great Company Overall	 Financial Services Representative	9 Aug 2022	4.0	Very strong support from the company. Tools needed are integrated well within a system. Good campaigns to help the representatives.	Lack of instructions for administrative matters. Had to rely on colleagues to figure out these solutions. Efforts in improving it have definitely been made but it is yet to be intuitive.
38	not for everyone	 Sales	1 Aug 2022	1.0	pros include having a flexible schedule	not everyone is suitable for it
39	difficult to close sales	 Financial Adviser	20 Jul 2022	2.0	good environment with good colleagues	difficult to close sales. too saturated
40	Overall okay	 Policy Servicing	19 Jul 2022	3.0	Good benefits, coverage and perks.	Change of management and office politics
41	Great people and company to work in	 Senior Manager	4 Jul 2022	4.0	People are easy to work with	Having to deal with a lot of legacy and red tape
42	-	 Operations	28 Jun 2022	4.0	Fun to work at this place.	Lack of interactions at workplace.
43	A good start for fresh grad	 Database Developer Intern	15 Jun 2022	5.0	"- communicative environment
- able to learnt new things
- a good start for fresh grad who never know about real work environment"	i dont have any cons until now.
44	Earnings depend on commitment	 Financial Advisor	9 Jun 2022	3.0	Work harder can earn more	Independence is important. Must be continuously motivated
45	Good experience	 Anonymous Temporary Employee	7 Jun 2022	4.0	Good atmosphere, very helpful team	Not many food options nearby
46	Life as a Business Development Intern	 Business Development Intern	30 May 2022	4.0	"- good boss
- friendly working environment"	"- stereotype towards insurance companies 
- have sales target to meet"
47	Good company culture	 Business Analyst	26 May 2022	5.0	Good employee benefits, good culture	Most people are stay in their comfort zone
48	Culture	 Insurance Agent	18 May 2022	4.0	"Good culture and coaching
Work life balance"	"Workload stress
Need to hit target"
49	Sales	 Sales Associate	6 May 2022	5.0	Good progression , incentives and innovative	Long hours management response slow
50	Too many old managers with outdated view	 Technical Analyst	26 Apr 2022	1.0	Insurance benefit is good. That's the only merit.	Too many old managers with outdated view and they always give all good oppotunities to their countries' people. They are afraid of new skills so try to avoid changes. These managers have worked for the same application for more than 15years. A lot of young capable people got frustrated and left.
51	Good compensation long hours	 Anonymous Employee	13 Apr 2022	5.0	"Good compensation
Good team culture and nice working environment"	Work load is quite high
52	Average company	 Financial Sales Consultant (FSC)	6 Apr 2022	4.0	Career benefits after 2yrs of working. Group insurance.	"Never backs their agents against any customer or MAS. 
Performance driven without exception to wellbeing and welfare.
Career benefits and commissions highly dependent on persistency."
53	Good career opportunity	 Human Resources Assistant	31 Mar 2022	4.0	Meritocratic nature. Room to excel and innovate	Can be a toxic environment at times
54	Insurance Agent	 Financial Services Consultant	31 Mar 2022	5.0	Good money, really good money	See you like the job or not
55	Good if not ambitious	 	24 Mar 2022	3.0	"Work life balance
Good boss"	"Low pay increment & low salary
hard to promote"
56	POS Servicing	 Policy Service Specialist	22 Mar 2022	4.0	work life balance with good benefit	Limited learning and promotion may be stagnent
57	Horrible and rigid	 Manager	21 Mar 2022	1.0	"Peers are nice
Good medical and flexi benefits
Looks good on resume"	"Horrible division is life operations.

SOPs varies

Agents / FAs like to throw their weight around and get things done their way when it's not right

Many managers practice favoritism especially in customer service and policy services

Performance reviews are not transparent.

AIA group likes to intervene with what AIA sg is doing under the guise of ""alignment"". Makes progress harder and doing projects out of work scope a waste of time and effort, and people just do for the sake of showmanship to pacify management be it local or in group."
58	1st 3year is important	 Financial Advisor	14 Mar 2022	2.0	if u meet a good mentor is good, good backend sales system	products sales can be competitive , is a cycle sometimes good sometimes bad
59	Poor management	 Financial Services Consultant	13 Mar 2022	2.0	Following the tech world closely	Backend support by lousy service provider
60	Aia review	 Financial Services Consultant	7 Mar 2022	5.0	The job is freelance and flexible	The job does not have fixed income
61	A place where you willing to input your 100% effort	 Software Tester	1 Mar 2022	5.0	"Well organized
Friendly Colleague
Caring Management
A comfort timeline for every project"	"Can be better on Work-life balance
The increment of salary is relatively not attractive comparing to some of the insurance company"
62	AIA Singapore	 Team Lead	22 Feb 2022	4.0	Good culture and work life balance.	Not very good pay master
63	Aia	 Sales Manager	20 Feb 2022	5.0	flexible timing, objective based working	overrall lack of leads generations
64	Be extremely cautious before joining into Financial Institutes industry	 Financial Consultant	15 Feb 2022	1.0	"Control in work schedule
Phenomenal Income growth potential
Diversity in Cultural and knowledge exposure"	"Negative Positivity from peers and mentors
Constant Verbal Pressure with barely any proper mentoring
Peer Comparison that triggers either positive or negative emotional impact(Again Negative Positivity)"
65	Great opportunity for growth	 Brand Analyst	13 Feb 2022	4.0	Great supportive team and bosses. Being proactive doesn’t go unnoticed. Never need to hesitate to speak up.	Red tape can drag things on
66	NIL	 Financial Advisor	13 Feb 2022	5.0	Flexible, Own time own target	No pay if not working, must be independent, micro managing
67	ok	 Assistant Manager	8 Feb 2022	3.0	great team, learnt a lot	large company got more red tape
68	Choose a good leader	 AIA Wealth Management Position	4 Feb 2022	5.0	"Market leader.
Offers competitive products
Best use of IT
How well you do depends on which group you join"	"Self service
Scheme is hard to get money"
69	Actuarial Analyst	 Actuarial Analyst	2 Feb 2022	5.0	People are respectful and helpful	work might be dull if you don't like excel
70	Beware of what you sign up for	 Financial Services Consultant	28 Jan 2022	2.0	"Unlimited income potential. 
Flexible work hours

Progression path is transparent and accessible.

Self led, you are your own boss

Sales technology and it support are excellent"	"Effort and hours does not translate into Salary, due to its sales based pay scheme. No sales = no earnings. 
Work hours is flexible but be prepared to invest a significant chunk of time, beyond normal office hours into this. 
Not everyone is a high achiever, being able to successfully conduct sales is not as easy as your recruiter would like you to believe. 

People/Students considering joining as an agent, do take note of the contract maintenance requirements (sales quota) and persistency score. Having clients who decide to drop their plans purchased from you results in reduced persistency, and it can lead to clawbacks in comission or if you are in the EPS scheme. 
Appeals for the persistency strike might not be approved, despite the fact that your clients decision to do so is out of your control."
71	AIA is a good insurance company to work in	 AIA Wealth Management Position	27 Jan 2022	5.0	good bonus & cash incentives	diversity and inclusion for minorities lacking.
72	-	 Relationship Manager	10 Jan 2022	5.0	Good company image and market leader for products.	No cons to discuss about.
73	-	 Financial Advisor	3 Jan 2022	4.0	working hours are very flexible	no basic pay is provided
74	Good Retention Package	 Consultant	20 Dec 2021	3.0	Compare to other competitors, AIA has very good retention package	Strict target and high target to sustain the retention package
