	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Awesome	 Account Health Support Specialist	8 Mar 2023	5.0	Great team, awesome pantry, nice scenery.	No birthday offs, no bonuses.
1	meh	 Account Health Specialist	26 Feb 2023	2.0	Good hiring and onboarding process	Micro management from mangers Unable to see purpose of certain tasks
2	Not bad	 Warehouse Associate	24 Feb 2023	3.0	Multi cultural and respectful senior management	Co workers can be toxic sometimes
3	Supercharged learning for early career	 Risk Manager	17 Feb 2023	5.0	- Learn from the leaders that enable you to grow by challenging your mental models and how you approach problems - You get a fair degree of flexibility in developing solutions for business problems that you identified as priority to work on	- As you progress upwards, politics will start becoming more obvious. Managers do a good job of shielding their functional roles from dealing with them directly, however this can be a risk if you are not well equipped to handle it as you go through promotions - Depending on the maturity of your country's business unit, even if you have flexibility in building solutions, you will have a fair bit of compliance to worry about with Global standards established in the NA region. This can be a dealbreaker for some people as certain business problems require customization for different regions, hence becoming a blocker instead of an enabler.
4	Good for short term	 Warehouse Associate	15 Feb 2023	3.0	Flexible, decent pay for warehouse job	Alot of walking, long hours and very boring job.
5	Work life balance	 Account Specialist	13 Feb 2023	4.0	- Learn a lot, a good working environment. - Nice Office	-Micromanagement - Over work and no OT pay.
6	Amz	 Team Lead	13 Feb 2023	4.0	Good working schedule and flexibility to transfer shifts	Low compensation and poor packages. Overpromise from upper management.
7	Normal Part time job	 Fulfillment Associate	13 Feb 2023	3.0	Think positively you can get healthy by exercising	Put a toil on your knee
8	A very helpful and intact team	 SMB Sales Representative	7 Feb 2023	4.0	- great support from leaders, colleagues and teammates - tightly knitted and one team goal up to the country level - best sign in bonus and compensation - amazing insurance benefits - great service and customer obsessed - long term goals	- spends a great deal of time putting in paper, narratives plans and execution reports - double hats
9	.	 Warehouse Associate	26 Jan 2023	5.0	very good place to work	some leaders are quite toxic
10	Better than most packing jobs	 Warehouse Packer	25 Jan 2023	3.0	Air conditioned warehouse with better welfare than other companies	Job nature still mundane and not recommended to do long term
11	Only worth your time if you have a good boss.	 Account Manager	20 Jan 2023	3.0	- Strong culture - Challenging work - Good Exposure	- If you have a bad boss, you will not be able to promote - Your team can become really toxic, if the hiring bar is lowered - Leadership keeps changing and they don't really know what they are doing.
12	Temporary Job	 Picker/Packer	14 Jan 2023	3.0	Simple and easy No need to socialise Easy to get shifts	Boring and long with the new requirement hours 10 hours is too long and the work load is somewhat unbalanced Forced to be doing anything and everything with every second of work
13	Ok	 Account Manager	4 Jan 2023	5.0	Decent salary Flexible work arrangement	"Benefits could be improved, ""frugality"" is not a good leadership principle to have"
14	AWSome Company to work for!	 Senior Solutions Architect	3 Jan 2023	5.0	* Go-getter culture permeates the entire company * Extremely customer focused - you will learn to put the customer at the center of all our thought * Most leaders live by the Amazon Leadership Principles most of the time * Fun work culture	* Work can get to you if you do not prioritize and filter work * While technical eminence is part of your KPI - it usually comes at the cost of a lot of after work hour effort * Direct culture - be prepared to hear blunt feedback - but it is not meant in a negative way
15	Work life	 Associate Vendor Manager	2 Jan 2023	5.0	Very good work-lift balance, people are smart and friendly.	Too much ad-hoc and last min work request.
16	Great culture but a Lack of Manpower	 Internship	28 Dec 2022	4.0	A talented team and a great culture as expected in a tech company.	With a lack of manpower, I find many holding multiple roles and it could be overbearing at times. One has to know how to prioritize and find balance in work and play.
17	AVS/SVS/CATEGORY SPECIALIST (DO NOT APPLY) singapore	 Brand Specialist SVS	20 Dec 2022	1.0	able to learn about Amazon best practices from overseas	Worst job scope, do not apply. Multiple vendor managers who are unclear and do not take ownership of their own Brand/category. Convinced brand to pay for a head count in Amazon to focus on certain growth pillar however most VMs exploit the headcount to handle all task related to that vendor. Amazon has great success in the continental countries however they not able to localise (south east Asia) to local e-commerce landscape.
18	3 months in	 Sales Leader	19 Dec 2022	4.0	Great culture, clear values and strong principles that the company actually lives by, high level of innovation. Good focus on long term as opposed to short term.	"They are right when they talk about a ""particular culture"" it may not be for everyone, you need to trust the process and not fight it. Need to be prepared manage your own work load other wise you will get consumed."
19	Flat organizational structure, amazing company culture	 Mechanical Engineer	19 Dec 2022	5.0	great platform to get exposure to the the most advanced data center technology, various types of project	fast pace in working, customer-centric based on fast response of the Amazoniars.
20	Nice place to work	 TPM II	18 Dec 2022	4.0	Nice senior management. Freedom of work	No defined KRA. For promotion have to do something out of your daily work.
21	It’s really always day 1	 Account Health Support Specialist	5 Dec 2022	3.0	You will be trained to manage ambiguity.	Frugality , no bonus no AWS SOP can changes too often, can see almost weekly changes Change timing to your working hours too, without much negotiation
