	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Overall a great company to work at	 Inbound Success Coach- Sales	20 Feb 2023	5.0	- great health insurance benefits - very transparent and fun team to work with - supportive teammates and manager	- the role could be stagnant and repetetive
1	Na	 Technical Support	10 Feb 2023	4.0	Good benefit and culture Focus on growth	Could be stressful at times
2	Good	 Senior Support Specialist	30 Jan 2023	5.0	Great systems placed to set people for success	Tough work and need to be really quick on the job
3	biased management	 CSSR Customer Service Sales Representative	27 Jan 2023	2.0	cigna, unlimited time off for now, wfh.	managers not aligned, no transparency
4	Culture	 Customer Success Manager	2 Dec 2022	3.0	Overall okay company to work for	Can be improved by hiring better managers
5	Amazing Culture, Amazing Product	 Growth Specialist	13 Nov 2022	5.0	One of the best culture that anyone can expect. Amazing product. We use Hubspot to sell Hubspot. Amazing learning opportunity	The product sometimes is little expensive than competitors especially in emerging markets
6	Best workplace ever!	 QTC Specialist	30 Oct 2022	5.0	Great work life balance, high salary and many benefits. Great and humble colleagues all around the world.	Need to be independent in learning the role and have high level of initiative. Need to be vocal and outspoken too if you need help.
7	I love HubSpot	 Senior Customer Support Specialist	27 Oct 2022	5.0	- people are genuinely nice and caring - company values and principles are strong	- not that many internal opportunities for support role progression - no bonus
8	Awesome culture while working with the most talented people	 Growth Specialist	11 Oct 2022	5.0	1. Hubspot's culture 2. Using Hubspot to sell Hubspot 3. Awesome brand recall 4. Thanks to inbound philosophy, you get a lot of qualified leads	1. Product is little expensive which sometimes become a challenge to sell for markets like India
9	Rating	 Collections Specialist	10 Oct 2022	5.0	Open communications Respectful of individual choices	unable to think of any so far
10	Company really lives its values	 Manager, Recruiting	5 Sep 2022	5.0	"-Flexibility: Not just remote or hybrid work, but respect for different working styles
-Transparency and candour of leaders: Sometimes companies have to make tough decisions, but HubSpot leadership generally does a great job of making decisions quickly and explaining the rationale with minimal corp speak
-Culture/People: It's nice to work with people are genuinely kind, empathetic, and eager to help.
-Diversity & Inclusion: Lots of tech companies just focus on increasing % of people from under-represented groups without considering whether the work environment is inclusive; HubSpot prioritizes both"	"-Not company's fault, but recent macroeconomic uncertainty contributes to volatility in forecasts and frequent need adjust focus
-Years of hyper growth have resulted in some processes being immature for a company of this size (goal-setting, performance reviews, promotion)"
11	Great Culture and Community	 Training Facilitator	23 May 2022	4.0	Great opportunities to grow and learn. Culture driven.	Slow growth at the moment.
12	Great	 Contracts Specialist	26 Apr 2022	5.0	Culture is great, everyone is willing to help you.	Nothing that I can think of
13	The best place to work	 Customer Support Specialist	18 Apr 2022	5.0	The interview process was one of the best, so was the onboarding and the culture.	None that I can think of
14	Experience as a customer support specialist	 Customer Support Specialist	16 Mar 2022	4.0	"- Great medical/dental coverage
- Amazing culture and friendly folks
- Expect to see growth in your career"	"- No annual bonuses
- Fast paced, stressful
- Very metric driven"
15	HubSpot Employee review	 Customer Success Manager	20 Oct 2021	4.0	Good work work life balance	Employees generally skew younger in age
16	Great Benefits and Management	 Onboarding Specialist	12 Sep 2021	5.0	- Great overall benefits, flexible wfh options	- APAC is sometimes left out in the overall company decisions
