	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Many talented people, NORAM-centered, manager-depends on luck	 Program Manager	13 Mar 2023	4.0	Great benefits, great XFNs, and some managers are great.	Very NORAM-centered, so lots of night calls at terrible hours for APAC folks. Depends on your luck whether you get a good or bad manager. I've had both.
1	Great culture, competitive compensation	 Operations Manager	13 Mar 2023	4.0	Culture, people, competitive compensation and work life balance	Lack of visibility and clarity when it comes to direction of company
2	good company with strong culture	 Technical Sourcer	10 Mar 2023	5.0	Good benefits, nice and smart people, and strong culture	Business didn't seem to go anywhere, thus huge layoff?
3	Great company	 Reception Lead	9 Mar 2023	5.0	Company cares for their employees.	Too good but too bad I have to leave
4	Great place to work	 Client Partner	7 Mar 2023	5.0	Pay and benefit are great. Great team mates, smart and caring.	- Middle managers dont add values. - Politics - Lost values.
5	Good benefits	 Product Designer	1 Mar 2023	4.0	Good work-life balance, good benefits, smart people	Unclear scope from leadership, sometimes time-zones can be a bit much
6	Generous company, great company culture but poor leadership skills and management of layoffss	 Senior Strategic Partner Manager	22 Feb 2023	3.0	Great perks and benefits, compensation was generous, paid leaves and Meta days, flexible hours	Leadership team management's handling of layoffs is seemingly prejudiced, biased, non-objective and inequitable.
7	Only god know what they are doing	 Client Service Associate	11 Feb 2023	3.0	You can learn a lot	Management everyday meeting, however they dont fix the issue
8	Working at Meta	 Business Development	10 Feb 2023	4.0	Great work environment, talented colleagues.	You require a high tolerance for ambiguity to work here.
9	Great company to work with	 Partner Manager	4 Feb 2023	5.0	Great company culture and benefits	Things can be changed too quickly. You have to be able to unlearn and relearn
10	Managing vendor relationship and supply	 Partner Operations Manager	30 Jan 2023	5.0	Great yearly incentive/bonuses, good culture, challenging roles/tasks	Processes are not yet in place for the most part. micro management
11	Nice place	 Executive	24 Jan 2023	5.0	nice place good learning happy	stress, lack of staff and work life
12	Great Culture	 Anonymous Employee	19 Jan 2023	5.0	High performing people with vibrant and supportive culture	Inefficient tools and technical support for issues
13	TC	 Regional Manager	18 Jan 2023	4.0	People, benefits, flexibility, travel, office environment	Insane working hours, no work-life balance, terrible PSC process
14	Great company	 Business Engineer	18 Jan 2023	5.0	Have a proper work-life balance Challenging environment to learn	best work place and no cons.
15	Regulatory Operations Specialist	 Regulatory Operations Specialist	17 Jan 2023	4.0	Company benefits Events and development opportunities	No job safety (2022 mass layoff)
16	Not advisable to join the company for now	 Strategic Partner Manager	16 Jan 2023	3.0	Benefits, free food and snacks, culture and Employee engagement activities, flexible work hours	Direction and strategy always changes to the point that it is no longer efficient, depending on the team but the team i was transferred to- leadership is a bit authoritative and filters updates
17	Great employment in the midst of uncertainty	 Business Engineer	15 Jan 2023	4.0	- Very competitive salary - Clear career opportunities	- Uncertainty about future of the company - Reduced benefits
18	Still a great company to work for	 Marketing Director	9 Jan 2023	4.0	Great leaders, tons of opportunity, fantastic perks.	Current share price, post-layoffs morale and some teams shrinking in size.
19	Great company	 Software Engineer	9 Jan 2023	5.0	Competitive compensation Amazing team members	Low process, you have to be able to run yourself
20	Love working there!	 Account Manager	8 Jan 2023	5.0	Good company, nothing not to love!	Can be too fast paced and stressful at times.
21	Intern	 Intern	5 Jan 2023	4.0	Flexibility in time, employee welfare etc.	none at this point in time
22	Enterprise Support Engineer	 Enterprise Support Engineer	20 Dec 2022	5.0	Great benefits Working with cutting edge technologies Wonderful smart people Caring Culture Growth Culture with lots of access to learning resources	- Yearly report writing ( self review) - Some managers are great at their job but not the best people managers - The tension created between contingent workers and Full time workers with the benefits that aren aligned - Lack of in person travel since covid compared to before
23	Decent place	 Client Solutions Manager	17 Dec 2022	4.0	Good benefits Work life balance Friendly folks	You feel like a cog in the big tech machine
24	One of the best place to work	 Account Manager	14 Dec 2022	5.0	People are so nice, and great environment to work.	Business trajectory is uncertain and current business situation is tough.
25	Mirage, while it lasted.	 Anonymous Employee	12 Dec 2022	1.0	"- Will match comp and level if you're getting hired externally. 
- Relatively easy to get into. Easier interviews. Good stepping stone if getting opportunity from non FAANG background."	"- Not a place for planning you career long term. People will be hired externally on higher levels than someone getting promoted internally despite high performance ratings. 
- Metrics driven. Managers LOVE numbers, no matter how far-fetched, projected, approximated they are. If you can't show impact in numbers, don't pick up the project.
- 3-4 months projects are considered ""long term"" projects. Don't be mistaken for anything otherwise. Show your impact and move on. 
- Growth is stagnant in many orgs. Be careful while joining and find out as much as you can during interviews. 
- No team cares about customers. Good luck if you're joining into sales, account management or support. You're on your own."
26	Great Benefits	 Partnerships Manager	10 Dec 2022	4.0	Benefits - healthcare, health and wellness are inconceivably good	Very large company and is now moving very slowly away from what made it strong with very little foresight to how it is affecting current business
27	Amazing work culture and people!	 Insights Manager	9 Dec 2022	4.0	Working with the best minds, the people at Meta is what makes the experience so amazing. Yes, there's the gastronomical food, wonderful office etc. But it's really the people who defined the experience. People are smart, with strong ownership and respectful of different expertise and POVs. The company values authenticity and celebrates wins, making it a comfortable and rewarding place to work in . My boss was really supportive, empathetic and transparent; really enjoyed my time with her. There are sufficient tools to do good work, and opportunities everywhere to choose who/what you want to work with, and create impact.	Contract workers are treated as second class citizens.. Uneven perks aside, contracts were renewed every 6 months, which is honestly unnerving... Contract workers do not get opportunity to switch to full-time role - have to go through the hiring process like everyone else. And usually there's no headcount, hence the CW role.
28	Well balanced company between freedom and process	 Solutions Engineer	5 Dec 2022	4.0	Quite much freedom in regards with what you want to do	Less chance to grow after certain job level unless you switch to manager track
29	Great Place to Work!	 Technical Program Manager	5 Dec 2022	5.0	Open culture, very accommodating, lots of learning, fast paced,	Bottom-up culture may be difficult and confusing initially.
30	Supportive for family	 Software Engineer	4 Dec 2022	4.0	* good benefits, such as insurance, parental leaves	* stressful sometimes as all colleagues are smart * tech stack not industrial standard
31	Great workplace	 Learning And Development Specialist	29 Nov 2022	5.0	Meet the most talented and savviest people who are passionate about what they do Café, snack bar, micro kitchen benefits	Contingent workers have much fewer benefits
32	Overall a good place to work	 Internal Recruiter	26 Nov 2022	4.0	Career opportunities are available, overall good culture.	Sometimes being in the news too often is not a good thing. We hear news from external sources first.
33	Fast-paced, challenging but rewarding	 Quality Operations Program Manager	23 Nov 2022	4.0	Many projects to work on with brilliant individuals. Cross-team collaboration is highly encouraged. Unique problems to solve.	High-level politics. Poor internal communications. No vote in company's business direction.
34	na	 	23 Nov 2022	4.0	work life balance culture autonomy	slow pace leadership organization structure
35	Na	 Software Enigneer	23 Nov 2022	4.0	competent pay, friendly culture, etc	burnout, peer pressure, slow ladder, etc
36	Laid off	 Outreach Manager	21 Nov 2022	4.0	Great culture and colleagues that are supportive and spur you on.	Some leaders at the company make questionable decisions.
37	Metas Program Manager	 Program Manager	19 Nov 2022	4.0	Caring culture, good benefits, impact	Indecisive leadership, bad external repute
38	-	 Technical Recruiter	17 Nov 2022	5.0	It’s a good company but going through some challenges	Nothing to say as they treated employees really well
39	Nice working culture	 Software Engineer	17 Nov 2022	3.0	- fast career growth - good pay	- WLB - Management is not so good - stressful performance review
40	good place to work	 Leadership Recruiter	16 Nov 2022	4.0	Great benefits and work life balance	Does not have seasoned leadership
41	Culture	 Recruiter	16 Nov 2022	5.0	everything is good. people culture and worklife.	Always need to work on impactful work to gain visibility
42	good company	 Marketing Lead	15 Nov 2022	3.0	good compensation, smart people, good name value	lots of internal politics, weak leadership
43	hope is not a strategy	 	15 Nov 2022	5.0	good benefit and company culture	hard to get real feedback
44	Good benefit	 Partner Manager	15 Nov 2022	5.0	Great benifit and competitive pay level	Redundant jobs, inefficient middle management layer
45	Company used to be better	 Program Manager	15 Nov 2022	4.0	Good compensation and benefits Work with some of the most talented and amazing people	Company has changed since 2017. Cost-cutting measures. A lot of work. Increasingly difficult to move things.
46	Good	 Solutions Consultant	14 Nov 2022	4.0	Good culture deps on team	Opaque progression and tough competition.
47	Good place to grow	 Data Scientist	14 Nov 2022	4.0	People are smart and nice, also the methodology and framework across the working model is very helpful for a DS to learn and grow	Chaotic org management, so many duplicates in the space
48	Good company still	 Sales	13 Nov 2022	5.0	Work with a lot of talent	Business is going down now
49	Not a great engineering org	 Enterprise Engineer	11 Nov 2022	3.0	Good pay on par with software engineers	Sub par managers and leadership. Feels like a service based company inside the facebook org. Most teams are bloated and hardly have any meaningful work. Engineers often have to fend for themselves and find work. Managers are empire builders
50	Good company, but limited scope at regional office	 Software Engineer	11 Nov 2022	4.0	Good benefit Nice people Career progression	Join Meta in US, they have more interesting things to do
51	Good benefits	 Community Escalations Specialist	11 Nov 2022	4.0	Great benefits, amazing people and Management, Food	You can get laid off anytime
52	Take with caution	 Software Engineer Intern	8 Nov 2022	3.0	good work life balance in office	No conversion to full time
53	Ok	 Software Engneering Intenr	3 Nov 2022	3.0	Free food and not bad salary	Tough competitive long hours a lot of work
54	Great Work Life Balance	 Software Engineer Intern	31 Oct 2022	5.0	- Great Work Life Balance	- No cons as of now
55	Lack of growth in non-US offices	 Operations	12 Oct 2022	4.0	"- Competitive salary
- Strong work-life balance (except for late night calls with US every now and then)
- Friendly global colleagues"	"- Competitive culture
- Lack of growth for non-US offices
- More opportunities tend to be presented to US employees, with reasons like ""more fitting work hours for discussions"", etc. presented
- US employees get promoted way more often than global employees; promotions happen very often across Product and Tech teams in the US"
56	Good for career growth in the past , but unsure about future prospects	 Analyst	1 Oct 2022	4.0	Good for career growth in the past , good WLB, friendly culture	unsure about future prospects now that it is hit by apple non tracking
57	great place to work at	 Software Engineer(Internship)	26 Sep 2022	5.0	one of the best benefits (good money, free tech, free food). had lots of fun and worked on a project i enjoyed	your experience will be highly dependant on team.
58	company culture	 Digital Marketing Manager	15 Sep 2022	5.0	"- great company culture
- supports teamwork"	- not applicable at that point of time
59	Reign of Terror	 Client Partner	12 Sep 2022	3.0	"There were happy memories. 
The brand name is still good in the job market."	As the market situation becomes difficult and emergency management begins, we are following the habits of traditional companies that we should not do.
60	Good people; need more effort in internal productivity tools	 Partner Sales Specialist	5 Sep 2022	4.0	"- Better people than Google, relatively better EQ, employee relations
- External clients and internal employees welfare is taken care of"	"- Low product portfolio, lesser areas for internal movement 
- Need more robust in-house engineering skills, they are lagging in industry
- Heavy Google followers in internal policies and programs"
61	Treated unfair at work due to pregnancy and maternity	 Project Manager	5 Sep 2022	1.0	Free Breakfast, Lunch, Coffee and Snacks	"Treated unfair and work scopes are removed after pregnancy and maternity. 
Horrible experience, regret to join Meta as a contractor"
62	Not bad	 Analyst	3 Sep 2022	3.0	"-Work from Home
-Good leadership team"	"-Lack of promotion
-Abnormal working hours"
63	Great place for growth	 Software Engineer	1 Sep 2022	5.0	"Interesting work
Actionable feedback provided frequently
Experienced mentors"	Sometimes the pressure gets to you
64	great company	 BPO	18 Aug 2022	5.0	"good perks
efficient
lots of projects to get yourself involved in"	lack of growth opportunities and climbing the ladder
65	Great benefit with work flexibility	 Account Manager	16 Aug 2022	5.0	"- Great medical insurance benefit coverage
- Flex budget for personal development & more
- Flexibility in work
- Great team dynamic with ownership and self value"	- Salary might not be as competitive as other tech company but consider a great place to work with all the learnings and benefit
66	Nightmare	 Data Centre Engineer	28 Jul 2022	1.0	Meta offers many great perks, as with the Tech companies.	"Do not mistaken the Singapore  Data Centre to be the Tech Giant Meta. They are totally different. 

- The management in data centre does not embody Meta culture. The culture in data centre is worse than small medium enterprises. Employees are expected to be yes men, not to raise any questions or even provide feedback. You'll be targeted by management and your performance appraisal will suffer. 

- In the data centre, many perks given by Meta are not applicable to you if you are not a manager. Management said you are not to ""take advantage of the company "" so don't assume the perks such as Global travel days, or even claims of mileage for work purpose to be allowed. They will be rejected by your line manager.

- Overall culture is non-supportive and toxic with no flexibility. Expected to work in site office 5 days a week.

- Data centre hired people who aren't very competent or capable. It's really puzzling , guess the loop interview is not working. 

- No career progress, almost impossible to get promoted.

- Meta prides itself as a company that supports diversity but the Data centre is a strong supporter of CECA.

- Avoid at all costs unless you are a yes man."
67	I grew up with Meta	 Head of Data Science	27 Jul 2022	5.0	Great culture, great offices. They take great care of you. Colleagues become good friends.	Too much noise, politics have started creeping in, people chase for bigger scope.
68	Nice competitive salary, perks, Advanced technologies	 Senior Enterprise Engineer	23 Jul 2022	5.0	Best salary around the market. Lots of perks which are very nice. And always work with cutting edge technologies.	It move fast, so you need to move fast as well. A little bit harder to maintain work -life balance
69	No comments	 Software Engineer	21 Jul 2022	2.0	No comments, better to find out yourself	"great platform..
supportive tech team
lots of choices."
70	Was a great company but going down	 Head of Public Policy	14 Jul 2022	4.0	excellent perks, great salary, challenging work	bad managers, US-focused culture, bureaucratic and hierarchical
71	Good work life balance	 Recruitment Coordinator (Contract)	30 Jun 2022	5.0	"- Good work life balance and culture 
- LGBTQ friendly, diversified and inclusive 
- Salary as a contract worker is good
- FTE gets more benefits and extra company wide holidays"	"- contractors don’t get the healthcare benefits and etc. 
- have to work on company wide holiday when FTE goes on holiday. Wish there was less gap between contractor and FTE"
72	Partners Specialist	 Partners Specialist	22 Jun 2022	5.0	"Great team with inspring and friendly individuals. 
Work gets done very efficiently."	Due to some policy constraints, feedback has to go through the agency and then to the CW. It would've taken a month for the feedback to reach the CW.
73	Great place to work	 Account Manager	17 Jun 2022	5.0	Great autonomy to make real client impact	Cant think of any actually
74	Ops	 Associate Ops	14 Jun 2022	4.0	"Good perks 
benefit
environment, office is nice with good location"	"bad work life balance
very important to have a good manager"
75	Great work place	 Anonymous Employee	11 Jun 2022	4.0	"Friendly work enviornment
Fun work place
Positive vibes"	Lack of local product line
76	Good place to work but not if you are having ideas of your own	 Business Planning and Operations	29 May 2022	5.0	Benefits is good, food is good	Work hours is very long
77	Good benefits	 Finance Manager	16 May 2022	4.0	Many days of paid leave	The scope of work is too narrow.
78	Great benefits	 Strategic Partner Manager	6 May 2022	3.0	Great benefits, smart colleagues, and supportive work environment.	Messy leadership that goes all-in on what Mark wants
79	More to improve	 Sales Representative	4 May 2022	4.0	Good culture and smart people	Not the most attractive salary at the beginning
80	good place to learn but don’t be a CW	 CW Software Engineer	1 May 2022	4.0	"- great culture
- incredibly smart & humble people to learn from 
- a lot of opportunities if you have self initiative
- a lot of freedom with projects"	"- rly need a lot of self initiative to learn & get involved in more, especially if you are a CW
- as a CW you don’t get the same benefits (meta days, insurance, claimables etc), and you just don’t get prioritised as much as others. just hope you get assigned to a good team
- job uncertainty (depends more on project duration, not contract duration - after your project ends you have to flounder around and look for new projects yourself)
- just feels bad being a second class citizen. convert if u can"
81	-	 Manager	25 Apr 2022	4.0	"Good benefits
Friendly workmates
Flexible hours
Collaborative work environment
Well supported IT"	Disorganised and haphazard work style
82	Respectful place	 Recruiter	22 Apr 2022	3.0	"- Benefits 
- Good Recruiting Tools 
- Respectful environment 
- Fast
- Strong diversity focus"	"- Elitist mindset 
- Fear of underperforming 
- Overhire 
- Information overloading
- High stress"
83	Good company	 Anonymous Employee	20 Apr 2022	4.0	great company to move fast	average knowledge management and managers
84	Too much inclusion	 Partnership Manager	17 Apr 2022	5.0	Great people. Everyone's friendly and has a story to share. Good benefits and great work environment	Can be overwhelming with its inclusion culture. You feel forced to participate and become like the rest.
85	People and growth focused	 Market Manager, Global Operations	16 Apr 2022	4.0	Meta really cares about its people and its people really care about growth and impact	Constantly in the press, sometimes rightly and sometimes wrongly for privacy and other concerns
86	Great perks, one owns their own success	 Data Engineer	12 Apr 2022	5.0	Best health insurance I've ever known, excellent food and perks in Singapore, encouraged me to be bold, focus on strengths and be responsible for my own success	High pressure, performance reviews are always on the top of one's head
87	Contracted CSM	 Client Solutions Manager	11 Apr 2022	5.0	"- Everybody is very nice and supportive
- Adequate time for initial training
- Mentoring program for both newbie and existing
- Not much difference in terms of HR benefits (apart from the bonus, allowances, and insurance) between CTE & FTE
- Not much hierarchy, 
- A lot of room to grow, a lot of new projects or initiatives
- Good food from canteen and good snack/ drinks everywhere"	"- Workload can be overwhelmed sometimes
- People expect you to be fast learner"
88	People first company	 Strategic Partnerships Manager	11 Apr 2022	4.0	The company really cares about the employees and their family.	Product team's voices are the strongest and others can be easily neglected.
89	Flat	 Finance	8 Apr 2022	3.0	Good company culture of openness and perks	"The so-called flat structure means there is very limited growth. No clear career trajectory - basically told just ""do your job"", no career plan given. Promotions are arbitrary and favors US/Dub. Good senior roles are filled by new external hires. Easier to get hired than promoted."
90	Good	 Software Engineer	2 Apr 2022	4.0	Good perks and interesting work concept	nil nil nil nil nil
91	Account manager	 Account Manager	2 Apr 2022	5.0	People were great to work with	Work life balance was difficult
92	lengthy career progression	 Security Officer	28 Mar 2022	4.0	welfare, culture, meals provided, environment, fun	too long to progress to next stage of career
93	New Grad Meta	 Enterprise Engineer	18 Mar 2022	5.0	Good benefits and TC for new grad	No ability to negotiate for new grad
94	Great culture	 Marketing Science Partner	10 Mar 2022	5.0	Smart and (mostly) nice colleagues.	Cog in the wheel feeling.
95	recruiter	 Technical Recruiter	7 Mar 2022	5.0	"Great working culture and high learning curve
Opportunity to work with multiple XFN teams"	Processes go through constant changes and there is information overload
96	Good place to work	 Software Engineer	1 Mar 2022	5.0	Great place to work. Awesome	Can be a little stressful
97	Great company! Highly recommend!	 Client Partner	23 Feb 2022	5.0	I love working in Meta (Facebook). Salary and employee benefit are great. More importantly, I like my colleagues and you can make some true impact here.	Move too fast and sometimes feel stressful.
98	Great company but too US centric	 Global Operations Manager	22 Feb 2022	4.0	- Lots of opportunities to move into roles elsewhere/change career track	"- Don't understand Asia 
- Limited career growth in region"
99	Great pay and work life balance	 Technical Recruiter	20 Feb 2022	5.0	Good pay and benefits, company truly cares about their employees. A lot of extra time off and flexibility to work from home/ remote if preferred.	None for me. I think overall really good employer.
100	Good	 Software Engineer	20 Feb 2022	5.0	Good benefit, great company, overall great experience	Nothing that I can think of
101	Great place to work	 Solutions Engineer	19 Feb 2022	5.0	Challenging working environment with great benefits!	fast paced, startup like, self learning
102	Good perks + culture	 Software Engineer	19 Feb 2022	5.0	Awesome TC, good and positive culture and working environment	Stock price has been volatile lately
103	Good	 Marketing Manager	17 Feb 2022	5.0	Excellent company and nice working environment	"No at all 
Perfect company"
104	Benefits	 Sourcing Manager	13 Feb 2022	4.0	"- Multi cultural
- Move Fast
- Young environment"	"- Benefits catered for younger single crowd not the best for parents with kids
- Workload balance is bad as VCs are all US centric"
105	Account Specialist	 Account Specialist	8 Feb 2022	5.0	Supportive environment from upper management	Difficult to grow career at TDCX
106	Benefits	 Operations	5 Feb 2022	5.0	benefits, perks are amazing, flexible	Depends on team that you work
107	Good company	 IT Support	2 Feb 2022	5.0	Flexible arrangments to work from home	Some staff can try to dominate you
108	Amazing place to work	 Research Lead	31 Jan 2022	5.0	Fantastic colleagues (genuine and caring), well compensated, great offices/food/tech etc, amazing internal systems/software, good budget to operate, exciting products evolving every half.	Was a fast moving, bottoms up company but is now slowing down
109	Professional Workplace, large corporate environment	 Escalations Specialist	22 Jan 2022	4.0	"- Everyone is professional, smart, and helpful
- Good benefits and culture"	"- High turnover rate in some teams, causing a discontinuity in projects 
- Can still feel very messy and chaotic at times given the maturity of the company"
110	Working Experience	 Operations/Project Manager	18 Jan 2022	4.0	Lots of Flexi benefits, in addition to various ways we can work .	Work-life balance is hard, but apart from that, it is the best place to work from!
111	NA	 Business Analyst	17 Jan 2022	4.0	Good culture in office, delicious food	Lack of viability on conversion to full time permanent position
112	Great company	 Account Manager	17 Jan 2022	5.0	Nice working environment, great perks	Nothing to share on this category
113	Good perks, great people	 Account Manager	17 Jan 2022	4.0	"People focus, 
Great food 
great perks"	Lot's of additional work beyond core job
114	Excellent work life balance	 Finance Operations	16 Jan 2022	4.0	A lot of effort from leadership to build healthy culture and create a safe space for everyone to work	Difficult for the APAC to join the company live meeting lead by the leadership based on US due to timezone difference.
115	Good learning experience	 Strategic Partner Manager	11 Jan 2022	4.0	Free food, friendly colleagues, company culture, people centric, attractive bonuses but not at par as compared to other Silicon Valley companies, outstanding medical benefits and insurance	Get so overworked to hit team target goals per half
116	Awesome company	 Test Automation Engineer	10 Jan 2022	5.0	"Good pay
Good food, snacks provided
High tech infrastructure for software engineer
Flexible working hour
Professional colleagues"	Project scope for contract worker is not prioritized, therefore contract can be terminated or not extended anytime
117	A wonderful company to work in, open and flat in organization	 Manager	6 Jan 2022	5.0	Open and respectful work place.	Starting to move slower due to company growth
118	Great culture, great benefits, great people	 Marketing Specialist	6 Jan 2022	5.0	Smartest people I ever worked with, best benefits I ever had	Having to explain to friends why I work here
119	very good	 Risk Analyst	5 Jan 2022	5.0	wlb is really good, good culture	slow promotion, psc period is intense
120	Amazing place to work	 Product Marketing Manager	2 Jan 2022	5.0	"+ Challenging work
+ Motivated employees
+ Great benefits
+ Access to leadership"	"- High pressure
- Very fast paced"
121	great place for work	 Anonymous Employee	22 Dec 2021	5.0	good work-life balance, great benefit	slowly career growth path if you are in a mature business department
122	Process-driven team, positive work culture	 Crisis Response Analyst	13 Dec 2021	5.0	Very nurturing leadership who prioritises making sure people learn from mistakes versus punishing them.	Irregular hours due to shift-work means social life has to take a hit.
123	Amazing palce	 Software Engineer	2 Dec 2021	5.0	Full autonomy. amazing people. Nice challenges.	The constant media distraction. Constant. Bad. Publicity.
124	temp taker	 Temp Taker	27 Nov 2021	5.0	pays well for part time	little shifts to choose from
