	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Comfortable Job	 Lab Technician	12 Mar 2023	4.0	- Keeps you occupied every hour - Decent pay for internship - Clear direction daily on what should be done	- Gets stale really quick and you dont learn much
1	Great place to work	 Commercial Operations	6 Mar 2023	4.0	Inclusive culture. Possible to have job rotation within the company. Embraces learning and growth. Mostly talented and responsible people who are friendly and helpful. Continuously trying to improve processes and efficiencies.	Slightly risk adverse. A lot of sign offs required to make a change or approve something new.
2	Great company to work for	 Trader	3 Mar 2023	5.0	Great company to work for.	Progression can be slow. Sometimes decision taking can be slow as in all big companies.
3	Typical oil major company benefits, one of the better ones in terms of compensation	 Operations	3 Mar 2023	3.0	Many opportunities to move around if desired.	Work life balance is an issue
4	Working in global MNC	 Shift Supervisor	26 Feb 2023	3.0	Great benefits, work culture, expose to many working fields	Management issues, slow decision makers. Not up to current technologies
5	Immense Talent Very Well Taken Care Of	 Global Business Development Manager	23 Feb 2023	5.0	- Humane - Good pay master - Diverse opportunities to grow - Truly international environment - Inclusive culture	- Extensive focus on promoting female talent and discouraging the more deserving male counterparts just to fix a dashboard - Limited international opportunities due to expatriate policy
6	Ok	 Anonymous Employee	20 Feb 2023	3.0	- Genuine manager at least for me - Good work life balance - Good salary and bonus	- Due to thin segregation of duties, many stakeholders especially IT support. Kick you like a ball and many times no solution but eager to ask u to close the ticket. Need a one stop shop and more measurable metrics for IT. - Rather cold environment. Co-workers' respect for each other are not genuine but guided by company's value on respect. Appears friendly on the surface but badmouth behind one's back. - Overwhelming compliance courses to complete for new comers.
7	Organised Chaos	 Reliability Engineer	20 Feb 2023	2.0	Pay is one of the top in industry	"Toxic individuals who are part of the circle are constantly promoted. Rest are taken for granted.  Performance reviews are 100% subjective.

 Restructuring resulted in many getting promoted while a huge number of employees lost their job."
8	Good place to work	 HSE Engineer	16 Feb 2023	5.0	Good benefit, comfortable workplace, great workmates	Less work life balance, slim career opportunities
9	Great place for growth and experience, well cared for by genuine supervisors	 Internship	28 Jan 2023	5.0	- Supervisors genuinely care about your growth and try their best to give you challenging tasks - Work culture is quite relaxed but workers are always on task and passionate - Interns are given the opportunity to try whatever they want, bosses genuinely do care about your growth	- It requires interns to carefully think of what tasks is best suited for them. if you can't think of what you want to improve on or how you want to learn, it will be difficult to make your time here meaningful as well.
10	Commercial management	 Commercial Manager	5 Jan 2023	4.0	Good work life balance , personal development growth	Bureaucracy politics issues with inclusion
11	Good job	 Business Development Manager	3 Jan 2023	5.0	Good benefits for medical and dental	Frequent reorg so managers keep chamgjng
12	Shell Singapore	 General Manager	28 Nov 2022	4.0	People-centric, flexible working environment, excellent staff benefits	Attrition too low, sector going through (energy) transition can be unsettling
13	Great company	 Mechanical Engineer	17 Nov 2022	5.0	Smart people, challenging work, good conditions	Sometimes a bit slow for career progression
14	Shell employee	 Regional Technical Manager	11 Nov 2022	3.0	Higher than average monthly salary	Likes to reorg frequently and you may lose your job
15	Experience	 Customer Service Assistant	8 Nov 2022	5.0	Good learning experience Staffs are well bonded	Long standing hours Handling customers
16	Interesting Internship Experience	 Digitalization Intern	8 Nov 2022	4.0	- Work life balance - Friendly environment - People are willing to help - Internship pay above average compared to other industry standards - Get to know a lot of different people from different departments	- Sometimes projects fail, but could be taken as learning experience - Sometimes might be quite mundane - Sometimes supervisor quite busy - Full time conversion need to go through Shell Graduate Program, and currently (2022/2023) is only for Singaporeans or PRs
17	Culture	 Àccount Manager	6 Nov 2022	5.0	Collaborative and consultative culture among colleagues	Decision flow takes rather long
18	Plant engineer intern	 Plant Engineer Intern	2 Nov 2022	5.0	Great learning opportunities and very fast pace	Nothing that I could think of
19	career review in shell	 Engineer	31 Oct 2022	3.0	Good Pay package & good bonus	Good career progression for university graduated & not other academic level. High office politics working environment
20	Oil trader	 Trader	24 Oct 2022	3.0	Good cash package and relatively good hours	Poor culture and leadership, industry downturn, frequent lay off
21	People centered organisation, in a challenging industry	 Manager	22 Oct 2022	4.0	Good benefits Focus on fair treatment of people Flexible working arrangements (if not in Manufacturing)	Long working hrs especially in global roles Many VP level and up leaders have very poor people management skills. They got to where they are for IQ not EQ. Even with bottom quartile team leader skills in the employee satisfaction survey they stay where they are or get promoted.
22	Good overall package	 Safety Officer	2 Oct 2022	4.0	Management are open minded and empowering staff to take inititaives and drive program.	No work life balance as they are too many initiatives to be implemented with limited no. of staff to drive them.
23	Logistics Intern	 Intern	27 Sep 2022	5.0	Work life balance, competitve salary	Legacy systems and bad IT
24	System Enginner	 IT Support Specialist	24 Sep 2022	5.0	Company was great and environment was wonderful	No cons for this great company
