	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Great place to intern	 Software Engineer Intern	13 Mar 2023	5.0	Learning culture is great with very knowledgeable and helpful managers	Development maybe abit slow compared to a startup
1	Great WLB	 Software Engineer	13 Mar 2023	5.0	- Amazing WLB - Great culture	- Things can be slow
2	Review for System Analyst Trainee	 System Analyst Trainee	12 Mar 2023	4.0	Good place to learn. People are willing to teach	Very low pay and low chances of conversion
3	Great team culture	 Senior Consultant Software Engineer	10 Mar 2023	5.0	Great team culture - teamwork and great collaboration. Women inclusion in the team. Promotes career progression	Race diversity can be improved
4	Compensation	 Software Engineer	26 Feb 2023	3.0	Good team and work life balance	Less competitive as compared to others
5	Best Culture	 Software Test Engineer	23 Feb 2023	4.0	Good reputation, best working culture, great colleagues, decent benefits, flexible and work/life balance.	"Depending on the team/department you are in, you might be micromanaged or given mundane tasks and it makes it boring. Sometimes feels like there are too many ""middle managers"" that don't do much except for attend meetings yet the juniors have the bear most of the work. Oh and they love contractors more than full time staff. Too many of them makes the team feel out of place as some are working remotely and there is no sense of belonging. Hot desk system not the best and hybrid model should stick to 2 not 3 days in the office."
6	Awesome culture	 Vice President	22 Feb 2023	5.0	People are truly valued, huge focus on collaborative approach to work, lots of opportunities to move internally	Lacks a performance based culture, can be slow moving
7	Work life balance	 Contractor	21 Feb 2023	5.0	Work-life balance, helpful colleagues, supportive management	none as of now... everything looks so good at Visa
8	overall good place to work	 Senior Data Scientist	18 Feb 2023	4.0	good work and life balance, flexible	too much internal politics, have to build relationships
9	Decent place but a lot of org changes and bureaucracy	 Manager	9 Feb 2023	4.0	Good benefits Good salary Generally nice people	Too much unnecessary collaboration Slow processes Bad go to market for new products
10	Nice	 Software Engineer	3 Feb 2023	4.0	Really friendly bosses and colleagues	Abit on the slow side in terms of work
11	A good working place in overall	 Software Test Engineer/QA Engineer	2 Feb 2023	5.0	- Provides with a good working culture (US based) - Flexibility on working hours (offer hybrid model, possibilities on working from home) - Proper annual evaluation systems ( clear goal and objectives) - Provided with highly competitive packages with lot benefits (Flex benefits, health insurances etc.)	- In some cases a bit of impractical work goals - High workload
12	Great	 Technical Writer	1 Feb 2023	4.0	Career growth, employee benefits, work life balance	Bureaucracy, high pressure, travel globally
13	Solid Company, Good benefits	 Sr Director, Technology	21 Jan 2023	4.0	Comprehensive benefits and a flexible work/life balance	'Too many chefs in the kitchen' - this is not a nimble startup.
14	Positive Outlook	 Senior Data Engineer	16 Jan 2023	5.0	Very good team with drive and passion Flexible people and helpful managers Good WORK-LIFE Balance	I don't have any cons on employee benefits, It's excellent for permanent employees but not for contractors
15	Stable, Big, Busy	 Staff Software Engineer	22 Dec 2022	2.0	"- Good & smart colleagues mostly 
- Good benefit 
- More or less stable company compared to other tech peers, although you still have the small chance of lay-off 
- It is good for your career if you don't mind sacrificing your personal time"	"- Poor work life balance- long hours & weekends: you sometimes have to work on weekends FULL DAY in some teams. Some big bosses also tend to romanticize working weekends. It also depends on team though. So, if you are lucky, you might land in a team with good work life balance 

- You are required to be on-call (24 hour standby) during peak periods even though you are L3 support! Again, some teams don't require that

- Some coworkers like to text the team during personal hours such as late night, weekends, etc... on WhatsApp. There seems to be a culture where you have to show you are hard-working to get that promotion! 

- Corporate wants to bring employees back to office 100% 

- Process heavy, old tech, you will get tied to very niche project with small scope and do the same thing throughout, while your knowledge getting outdated"
16	Review	 Software Engineer Intern	8 Dec 2022	5.0	Visa is a stable company and a good place if you are seeking that	Slow work environment and not the best engineering culture
17	Best Company in Payment Industry	 Senior Consultant	4 Dec 2022	5.0	ALL their benefits Latest technology stack	Nothing I can think of compared to other peers
18	Good	 Trainee	18 Nov 2022	5.0	Nice people Good training program Good opprtunities	Not much cons at the moment.
19	Rigid, Dinosaur processes. Brands themselves as a Tech company, but acts more like a bank.	 People Team	3 Nov 2022	1.0	People are generally nice on the surface level. Decent internal mobility opportunities.	Very top down driven. Elitist mindset found in most senior management and they really like to gossip. Old school legacies and don't like to innovate. Traditional and work is NOT flexible even if they say it is .Facetime is crucial during meetings / the day and you have to be at your desk. Change management is terrible, managers don't handle it well. they really squeeze you dry, and leave you to drown, then penalize you for it during performance reviews. Lots of people gossip and bootlick as well, this bit i found surprising as I had initially heard great things about Visa's culture so quite disappointed.
20	Good to work	 Anonymous Employee	28 Oct 2022	5.0	Work life balance Great work	Nothing as such, everything looks goos
21	Great company	 Director	25 Oct 2022	5.0	Salary Environment company profitability Stability	none as such, most employees are happy
22	Technical product manager	 Technical Product Manager	20 Oct 2022	4.0	Great work life balance Company	I can’t think of any at the moment
23	Great place to work	 Senior Systems Engineer	22 Sep 2022	5.0	"Great place to work.
Good work life balance."	Nothing nothing nothing nothing .........
24	Good culture	 Trainee	21 Sep 2022	5.0	Good culture, learning is encouraged, opinions are valued	pay not as competitive ..
