	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	FUN PLACE	 Business Analyst	10 Mar 2023	4.0	Great environment to work New ideas	Lack of benefits Workload Less pay
1	Good working environment	 Product Designer	9 Mar 2023	4.0	Collaborative colleagues, fun place to work	Stagnant growth, depending on rapport with bosses
2	No work life balance	 Marketing	9 Mar 2023	4.0	Good compensation Good culture Fun colleagues Less stress	Toxic management Long working hours Alot manual task
3	Working environment	 Relationship Manager	9 Mar 2023	4.0	It was great experience. Learnt a lot and improve communication skill.	A lot of manual work
4	Shopee biz direction	 Senior Associate	9 Mar 2023	5.0	Team members are hard-working and nice	Biz direction is easy to change and it changes too fast to let teams to follow
5	Can be better	 Key Account Manager	9 Mar 2023	2.0	Colleagues are fun to be with, everybody wants to get their job done	Management should seriously review their priorities and focus - stop policing our attendance when we still get our job done
6	Chill coworkers and manager	 Intern	9 Mar 2023	4.0	- Nice office - coworkers were friendly - good office snacks - no OT - practice communications with different stakeholders	- work can be repetitive - Didn't learn much practical skills
7	Lead a team	 Associate	9 Mar 2023	4.0	fair benefit, clear career path, Casual outfit, start up company	Multi talent job and duty, normatif over time, have to adapt and fast knowledge of product information.
8	Good place to experience tech industry & move after a year	 Human Resources	9 Mar 2023	3.0	- One of the good places to earn e-commerce business portfolios in the tech industry, arguably the best tech company in the country - Pleasant culture. Millennials would love it here due to the relatively small generation gap among the team which affects how people communicate with each other - Good place to build personal branding - Salary, benefits, & perks are competitive vs other tech companies with the same standard (trust me I've interviewed, researched, and hired several people from tech competitors) - Networking. You can work with many great talents, ranging from ex-consultants, to many overseas graduates. Even the freshies are very smart	- No serious implementation for effective talent development & career progression - Workload & expectations for you will be very high on the very first day. Especially high during the campaign period - Related to point number 1 & 2, there's a reason why turnover rates are high. Last time i checked our insight, employees' AVG tenure years is around 1-1.5 years. So might need to think about your next move after your 9th month in the company - For HR readers : The only good HR functions to work with is the recruitment & HRBP, mainly recruitment. The Compben team is quite decent, but for other functions (OD, IR, Talent Management, L&D) honestly rarely heard and people quickly comes & go in there - For HR readers : the experienced HR might be bored after just a month of working here
9	-	 Customer Experience Associate	9 Mar 2023	4.0	Flexible working culture Nice manager	Hard career progression Few hierarchy position Very limited benefit Work from office compulsary, no hybrid
10	good pay, toxic culture	 Machine Learning Engineer	9 Mar 2023	3.0	competitive pay level, company shares	toxic culture, boss control everything, micro management
11	Good for new starters	 Product Manager	9 Mar 2023	3.0	You can start here with no prior experience	managers text you late on weekdays and sometimes weekends too, unclear career progression
12	Company environment	 Relationship Manager	8 Mar 2023	4.0	Young environment. Easy to get along with lead and teammates	Currently unstable due to declining trend of online purchases post- pandemic
13	Awesome place to work at.	 Senior Analyst	8 Mar 2023	5.0	Benefits, engagement with employees, and support.	workload and just one shift
14	Its OK	 Finance Analyst	8 Mar 2023	3.0	Great people, and very empowering middle management	Aggressive cost cutting recently. Forced RTO.
15	Review Headline	 Relationship Manager	8 Mar 2023	3.0	- great team experience - comfy workspace	-no promotions - they removed in house employee care
16	Great learning opportunities	 Anonymous Employee	8 Mar 2023	5.0	There are a lot of learning opportunities for fresh graduates and management helps you to grow	Working hours are slightly long
17	Best	 Customer Service Representative	8 Mar 2023	5.0	All good best managed . Looking forward to work again there in future	Great company with good assets
18	Company Management	 Software Engineer	8 Mar 2023	4.0	Shopee knows how to post a good financial report.	The management will continuously make wrong decisions and make employees sad from time to time.
19	Great working environment	 Relationship Manager	8 Mar 2023	4.0	-Collaborative environment -good working conditions	-Bonuses do not come very often
20	Shopee Working	 Associate	8 Mar 2023	3.0	Youthful environment where your colleagues will mainly be young people.	Unstable management, keep cutting benefits
21	Good	 Former Store Manager	8 Mar 2023	3.0	I was former teacher and it was good	None it was good for part time
22	Good Place to Learn	 Marketing Associate	7 Mar 2023	4.0	Can learn a lot in just a year since the company are in a running phase	Never ending re-structure are painful
23	Salary	 Account Manager	7 Mar 2023	3.0	people, work culture, workload, work-life balance	upper management, benefits, not stable,
24	Business Development Intern	 Business Development Intern	7 Mar 2023	5.0	Good culture. There are events for you to participate in, and a learning portal for you to develop your skills.	Not really, I do not have anything to write.
25	It is great!	 Human Resource Business Partner	7 Mar 2023	4.0	The culture and the people here are really great. I love working with my team as well as various people from different departments. Everyone is very warm, welcoming and helpful.	The working hours, and the flexibility of the work arrangement
26	No working flexibility despite gov new law	 Project Management Office (PMO)	7 Mar 2023	3.0	Office location very central and lots of food options within a mall	Do not allow wfh or any flexibility even after gov gazettes law of flexibility for working parents. Benefits have all been removed and no increment this past year
27	great place	 Senior Marketing Specialist	7 Mar 2023	4.0	excellent team culture that promotes learning and mental health	bounus cut in half this year due to recession
28	Fast paced, long working hours	 Analyst	7 Mar 2023	3.0	-Friendly & helpful colleagues -Reliable & knowledgeable boss -A lot of room to learn & grow	-No work boundaries, colleagues/bosses could message you at night unnecessarily, set meeting at night even though it obviously can wait -some benefits got taken away
29	Average	 Relationship Manager	7 Mar 2023	3.0	good colleague, great leaders, development opportunity	fast pace, unclear training, unclear direction
30	shopee review	 Senior Data Analyst	7 Mar 2023	2.0	- young and energetic - fast growth	- management level are not experienced
31	Strong leadership	 Key Account Manager (KAM)	7 Mar 2023	4.0	Worked with top management who are mostly coming from management consultancy.	Good pay for entry level employees. However, it takes a lot of hard work and extra dedication to climb up the ladder
32	Not worth it for money, good experience	 Business Development Junior Associate	7 Mar 2023	4.0	i learned a lot working at shopee, i can know how the business works and gain a lot of skills, esp in analyzing data, power points and problem solving	not enough compensation for the work given
33	Great place to learn with minimum work life balance	 Relationship Management Associate	7 Mar 2023	4.0	Great place to learn and self development, supportive environment, diverse culture	No such thing as work life balance especially after full wfo for 5 days
34	Relatively a good experience	 Organizational Development Specialist	7 Mar 2023	4.0	- Great team members - Opportunity to do internal transfers / try out a different field	- Feedback of employees not really taken into consideration once management is fixated on something
35	Shopee Singapore	 Software Engineer	7 Mar 2023	4.0	Young environment with many talent colleagues	Over hiring in 2021-2022 so they layoff in late 2022
36	Just OK	 Data Analyst	7 Mar 2023	3.0	Could not say it bad.	Sometimes couldn't understand how the leaders are thinking. Too many drama decisions.
37	Good environment	 Business Development	7 Mar 2023	5.0	good environmet & benefits. Healthy flow of work.	in the middle of rich people area, many expensive cafes & restaurants, make us waste money
38	Strong leaders but can improve in internal branding and sentiment	 Human Resources Coordinator	7 Mar 2023	4.0	Smart, reliable and hands on leaders	Recent measurements have been drastic without good communication and morale boosting measurement
39	Big NO	 Senior Fraud Analyst	7 Mar 2023	2.0	A lot of freebies and can cater work from home	Bunch of unknowledgeable supervisors that don't know how to run the team and will lay you off an instant
40	Great place to learn	 Data Analyst	6 Mar 2023	5.0	1) Great technology and data infra 2) Interesting use cases 3) Good people	1) Quick turnaround 2) Sustainability of business questionable
41	Really good work environment	 Seller Management	6 Mar 2023	4.0	Good work environment: the work environment has allowed everyone to give an opinion to figure out a best solution for a particular problem. Also, everyone is well coordinated in solving a problem even if it doesn't relate to them. Great start for a first jobber: As the majority of employees come from consulting firm, financial industry, and platform companies, you will receive a wide range of skill especially structuring problem and a systematic way to approach solutions which is very important to turn you to be a professional. And you will have an opportunity to do a bunch of data analysis that will shape you in a better understanding in dealing with a great amount of data and data execution.	Manual Execution: Some important task, people have chosen to do the same way manually, instead of find a way to automate the task or take this issue as a serious problem to be solved.
42	Not bad	 Merchandiser	6 Mar 2023	4.0	good working environment and friendly colleagues.	no work life balance, hectic life, and need to stay up late especially during campaigns
43	One of the intense company	 Seller Management	6 Mar 2023	5.0	It's still one of the most competitive company outthere with good benefits.	100% Top-down, there arent any creative thinking. Management wants you to think strategy and look at the big picture but all decisions have been pre-made. This means the company is running seamlessly, but employee doesn't have any opportunity to actually goes up in management.
44	Commendable Team Culture, Disappointing Upper Management	 Senior Business Intelligence Analyst	6 Mar 2023	1.0	Teammates are young and lively Lot of rooms for growth (If you're lucky) stakeholder management	Upper management decisions are not pro-employee Irrational 5x week of office setup No increase and less bonus for those worked FY 2022
45	Na	 Billing Analyst	6 Mar 2023	3.0	Good Pay, Snack not that bad Good Pay, Snack not that bad	Fragile, constant changes, management Fragile, constant changes, management
46	work life balance is okay now	 Backend Developer	5 Mar 2023	3.0	work lie balance is okay now	but the company is dying
47	DA with product team	 Data Analyst	5 Mar 2023	3.0	Got to dealt with large-scaled data	Need to follow PMs demands
48	Great learning place	 Associate	5 Mar 2023	4.0	Good place for fresh grads to learn and grow Contrary to 995 belief, there is lots of opportunities and its dependent on whether you want to hustle	I guess progression is one reason why people leave after 1 - 2 years
49	not a good company to work anymore.	 Assistant Manager	5 Mar 2023	3.0	growing business in SEA and LATAM	cut benefits, strict rules, top-down culture.
50	Great learning opportunities	 Project Management	5 Mar 2023	4.0	You get more perks and benefits	work-life balance and long working hours (team dependent),
51	Associate	 Operations	5 Mar 2023	3.0	Nice manager Many things to learn	work is manual heavy workload
52	Great place to work	 Project Lead	5 Mar 2023	5.0	Work life balance, very efficient way of working, office politics including minimal compared to other companies.	Recent policy full WFO, working culture between units can be very different, very fast policy changes in very short term period.
53	product team lead	 Product Lead	4 Mar 2023	3.0	- great people - a lot growing opportinities	- very fast past - a lot of micromanagement - a lot of reports
54	Shopee VN	 PMO	4 Mar 2023	4.0	Good environment, friendly, balance life and work	Too focus on unncesarry thing
55	Great place to start off	 Key Accounts Manager	3 Mar 2023	3.0	- steep learning curve - trains you to be very agile as the e-commerce industry is very fast paced. - open culture, easy to work with as people inside practices a very open culture and very willing to help	- top management is very rigid. - depleting employee benefits. - feedback from employees are not taken into account - no work life balance - compensation given is not on par with work load.
56	Work hours are long but colleagues are amazing	 Business Analyst	3 Mar 2023	5.0	- supportive colleagues - bright and talented people to work with - interesting work	- long hours due to the volume of work
57	Great workplace!	 Business Development Associate	3 Mar 2023	4.0	Professional environment, great amenities, benefits are quite good though :)	Doesn't have proper salary preview :) sometimes you'll have to work with a bad leader
58	Doesn’t listen to employees	 Anonymous Employee	3 Mar 2023	3.0	- Great colleagues/ teammates - Benefits are comparable to other companies (however not competitive annual leaves) - Good pay	- Sr management on HQ side does not listen to employees, we are only a human to keep their pockets full and business running - No transparency from upper management - increased workloads and expectations without official notice or increments to reflect new responsibilities - bad sr management attitude “take it or leave it, you can just leave if you don’t like it” with no outlook on positive changes - unable to see career progression - for a tech company, removing any form of hybrid work arrangement is ridiculous. Full time working from office is expensive but no increment even to adjust for inflation.
59	Great place	 Anonymous Employee	3 Mar 2023	4.0	Nice team leader and good development opportunities	Not too structured and high turnover
