	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Na	 Senior Technical Solutions Consultant	14 Mar 2023	5.0	Good work life balance and working with very smart people.	Slow execution of projects and too many management and leadership layers.
1	Great company with good perks	 Marketing	14 Mar 2023	5.0	Good salary, benefits, food. People are generally nice	Many processes, some politics required
2	Best workplace	 Operating Engineer	13 Mar 2023	5.0	Work life balance and flexibility	Lack of career progression and learning opportunities
3	Not bad	 Staff UX Designer	13 Mar 2023	3.0	Salary, People, Resources, Benefits and Food	Product, Process, Bureaucracy, Growth and Tools
4	Google Singapore	 Strategic Partnerships	13 Mar 2023	4.0	- Remuneration - Flexibility - Colleagues	- Decision by committee (slow to move and the right decision not always made to ensure everyone supports the inniative) - Ability to be creative due to processes - Unclear JDs
5	great company with talented colleagues	 Marketing Manager	13 Mar 2023	5.0	Great office, good manager, interesting work	Can't think of any at the moment
6	Good place to work	 Industry Head	13 Mar 2023	5.0	High salery, great perks and benefits.	It became less of a start up
7	Not clear strategy	 Sales	12 Mar 2023	3.0	work life balance, freedom but very top down	Very top down, no clear strategy
8	Google is not the Google as before	 Software Engineer	11 Mar 2023	5.0	From serval perspectives, Google is still the top place compared to other tech companies, such as talent colleagues, infrastructure & tools.	Unlike serval years ago, there are budget cuts, layoffs, and promotion becomes harder which makes Google not a place for retirement.
9	Lots of benefits	 Software Engineer	10 Mar 2023	5.0	A lot of perks for employess	Depends on location, employees can feel less appreciated compared to US counterpart.
10	Everyone has their head deep in projects. None help	 Employee Engagement	9 Mar 2023	4.0	Pay Brand name Never is there a lack of work	Toxic culture Overworking poor worklife balance
11	sudden layoff	 Senior Account Manager	8 Mar 2023	2.0	nice office perks teammates are great	they just revoked my access all of a sudden since its a big company, work politics
12	Culture getting worse	 Software Engineer	7 Mar 2023	4.0	Daily free food with loads of options.	Different teams having vastly different workload.
13	decent	 Junior Developer	5 Mar 2023	5.0	good pay good benefits good staffs	far to travel from suburbs
14	Great place	 Senior Financial Analyst	4 Mar 2023	5.0	Friendly and helpful employees, good perks	Too many layers, too centrally controlled
15	Niceee	 Internship	4 Mar 2023	5.0	Good to work as a intern	There are no cons good
16	Not bad	 Business Analyst	2 Mar 2023	3.0	Ok. Not too bad. Benefits good	Ok. Now retrenchment. Uncertainty in tech industry
17	Recruitment Coordinator SG 2022	 Recruitment Coordinator	1 Mar 2023	4.0	Great food, great office, great WFH benefits in 2022.	Lifted some of the WFH benefits towards the end of 2022 and RCs were micro-managed towards the end of the year.
