	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Work	 Procurement Officer	15 Mar 2023	4.0	Company work culture is ok	Not much downsides at the moment
1	Worth a place to work for	 IT Architect	15 Mar 2023	5.0	Mutual respect, Flexibility, Good work culture	It's more US-centric if you are in a global team
2	Unethical managers	 Senior Product Engineer	7 Mar 2023	2.0	- Good benefits (flexi benefits, insurance, etc.) - Working from home is okay as long as your manager is informed beforehand and you do not have to be on-site on that day to oversee projects - Engineers are competent and down-to-earth	"- Managers in my department are more interested in shallow publicity (quote: ""as long as it looks good"") than actual engineering functionality and reliability. - Some managers are unethical and use fear to motivate employees rather than creating a positive work environment. There are even managers who lack integrity and honour, reneging on agreements. My direct manager is a habitual liar, constantly trying to manipulate us and create team friction by telling each of us falsehoods about one another. Fortunately, my team lunches together and we found out from one another about his dishonesty. - Base salaries, increments, and bonuses are below the market rate. - Even though job rotations are lauded as a perk of working in HP, in reality, managers often block applications to rotate to other departments. - Some colleagues who are average performers have not been promoted for over 6 years."
3	Review	 Product Localization Lead	6 Mar 2023	5.0	Great culture, great employees, great mentor	fewer and fewer overseas travel due to covid
4	Get in, get out and don't look back	 Senior Product Manager	5 Mar 2023	3.0	Processes are clear. Peers are mostly great. Hit and miss with regards to bosses. If you're lucky, you'll work for someone great, otherwise, good luck.	Progression is slow as hell. Directors and VPs almost always get to keep their jobs. Everyone else can just be stationary and expect horizontal movements. There is little opportunity outside if you stay for too long, Get in, get out quick, and don't look back. The scope of work here has no future, unless of course if you are a Director/VP/C suite.
5	a good place to work	 Internship	1 Mar 2023	5.0	company culture is good, people are very friendly	hearded salary not very good
6	Moderate compensation	 FPA Analyst	23 Feb 2023	3.0	Company is very structure and systematic with good accounting system (SAP) Good working environment	Most employee work very independently and focus on own interest. Minimal guidance for new employee, you basically on your own - rise or fall, you are alone.
7	Work life balance, at the expense of low pay	 Program Manager	22 Feb 2023	4.0	Good working environment, collaborative teamwork.	Pay increments are like peanuts.
8	Intern Review	 Electrical Engineering Intern	20 Feb 2023	5.0	Best place to intern and learn about office skills	No cons to this company. Best place to work at
9	Great place for interns	 Summer Intern	20 Feb 2023	4.0	Many learning opportunities and team bonding activities, including team meals and excursions. Reasonable hours and decent allowance.	Due to their automated system, interns may see inaccurate leave days and pay.
10	Good work life balance	 Principal Quality Engineer	16 Feb 2023	4.0	Good work life balance and nice culture.	Senior leaders change too often, resulting the focus only on short term planning, which is cost cutting, lack of strategic vision.
