	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Good brand name & structured firm with top notch systems	 Product Manager	15 Mar 2023	4.0	Strong branding, very good structured firm and internal processes, good mobility. Systems deployed are latest in market and projects sufficiently funded.	Progression takes long Pay is average if not in investment banking Can be bureaucratic
1	Good	 Analyst	23 Feb 2023	5.0	Nice people and good leaders	Big organisation, hard to make an impact
2	Njce place to work	 SVP-Technology	17 Feb 2023	5.0	Good place to share ideas and shine. Lot of like minded folks. Best work culture among all US banks Good pay and rewards for out performers	Hectic work life balance. Lot of paperwork in setting up new infra or new setup
3	Working in JP Morgan is rewarding	 Senior Associate	5 Feb 2023	5.0	Rewards high performing individuals. Good work-life balance.	Career mobility within the company can be improved.
4	Great place to work!	 Consultant	4 Feb 2023	5.0	The team is great, the leaders are fantastic, and it’s a wonderful experience. I was only a consultant so I didn’t get some of the pros the employees got, but it was really good	It was hard work but the environment made it a good place to learn
5	JP Morgan Financial Analyst	 Financial Analyst	2 Feb 2023	5.0	Constant collaboration with the team as well as other branches.	Relatively long hours and high expectations.
6	Great Benefits, Pay could be better	 Business Manager	30 Jan 2023	3.0	Medical Benefits are great, People are nice (but quite team dependent)	Pay could have been better
7	Progressive company	 Senior Associate	17 Jan 2023	4.0	There is inclusiveness, harmony. Team members are friendly and forthcoming.	Adherence to uk and us standards could slow down in apac processes
8	Good place to work	 Vice President	17 Jan 2023	5.0	Reputation, people are nice here	Could be faster pace environment
9	Not bad	 Corporate Analyst Development Program	15 Jan 2023	4.0	Good work life balance, fun	Boring work, a little mind numbing
10	Positive Experience	 Summer Analyst	26 Nov 2022	4.0	* Rather flat hierarchy * Lots of opportunities to work with peers from other regions, more exposure	* Long working hours especially if it involves other offices e.g. UK
11	Good work experience, enjoy it	 Software Engineer	24 Nov 2022	5.0	Flexible arrangement for WFH, space for growth and learning	Maybe the workplace is far
12	alright work culture	 Analyst	1 Nov 2022	4.0	good compensation, nice boss, good people	heavy workload, tiring, investment bank culture
13	Very formal culture	 Vice President	27 Oct 2022	3.0	Decent salary and nice enough people.	You are monitored constantly. Not for everyone. Big egos at the senior level.
14	everything is well	 	26 Oct 2022	5.0	gain more experience and money.	investment that i am facing
15	Generally Good	 Software Engineer	26 Oct 2022	4.0	There are lots of learning oppotunites	Somtimes it is diffuclt to work in a better way
16	Analyst Programme	 Business Analyst	20 Oct 2022	4.0	good exposure and networking opportunities	rigid rotational structure to mainly OPS middle/back office teams
17	Training	 Associate	14 Oct 2022	3.0	Can learn from co workers	There is no Work life balance
18	Asso	 Associate	11 Oct 2022	4.0	Big platform, nice culture, good name	Too many ppl in PB
19	Summer Analyst	 Summer Analyst	7 Oct 2022	5.0	Holistic training, good culture, great office, smooth onboarding and offboarding experience	competition is high, sometimes stressful
20	Benefits of working in JPMorgan	 Software Engineer	5 Oct 2022	4.0	Nice office, good location, good working culture	Lower than the market pay
21	big banks with a few good projects	 Vice President	30 Sep 2022	4.0	comprehensive benefits plan, flexible work artangement is possible	Singapore is a small hub for giant corporation, hard to have good projects depending on your department and managing director influences
22	Trade	 Vice President	23 Sep 2022	5.0	This is a very driven company	Too much processes on product
23	Can’t ask for much more	 Data Analyst	5 Sep 2022	4.0	Lots of ‘extracurricular’ activities to get involved in	Just those typical of a large org, nothing major
