	Summary	Job Title	Date	Overall Rating	Pros	Cons
0	Great Culture	 Finance	2 Mar 2023	5.0	Good work environment and supportive team	Implements re-org every year; needs more transparency,
1	How you like your job is all depends on who you report to	 Program Manager	28 Feb 2023	4.0	Work life balance, flexible work arrangement	Almost having re-org every year
2	Pay	 Senior Compliance Analyst	23 Feb 2023	2.0	Good work culture and experience	Less pay and financial support
3	Great	 Marketing	22 Feb 2023	3.0	Talented people, good work life balance	System n Structure oriented and not much opportunities for marketeer
4	Went Woke	 Audience Marketing Manager	16 Feb 2023	3.0	Great community, connections, perks. Office is beautiful.	Company over corrected and went too woke for my tastes. Couldn't get a role that was instead offered to someone of another gender despite being less qualified. Sudden amount of emphasis on woke qualities and messaging that made it very hard to work.
5	good job	 Programmer Analyst	15 Feb 2023	5.0	good job and prospects. hope to learn more.	far from my house, travelling time
6	Hope it helps	 Administrative	7 Feb 2023	3.0	Flexible and non micro manage	Stressful at times but manageable
7	Good company	 Digital Advisor	31 Jan 2023	5.0	Good culture and great people	Complex organization structure and overlapping capabilities
8	Great Company	 Technical Account Manager	6 Jan 2023	4.0	Great company, you will get to learn a lot.	Quite a lot of office politics
9	Great company to work in	 Senior Product Manager	1 Jan 2023	5.0	Culture Quality of work Benefits	Work life balance Too many teams to navigate
10	Great Company to Work With	 Regional Project Manager	16 Dec 2022	5.0	great work life balance, nice supervisor, great team mates, happy working life	too many jargon in work
11	Laid off easily - Simple offer and demand strategy	 Solutions Architect	29 Nov 2022	3.0	Good benefits. International colleagues. Nice office location	You are a number. Simple offer and demand strategy. You are laid off to reduce costs. It doesn't matter your level of performance. Sales approach and attitude of colleagues changes from region to region. Singapore is money focus: if you can pay then you can get.
12	I didnt meet Bill Gates	 Software Engineer	1 Nov 2022	2.0	Good money Good protects Good Teamwork Racist people Their are also homophobic which i really liked and almost evrybody voted Trump which is good	I didnt meet Bill Gates
13	Fantastic company to work for	 Senior Customer Engineer	12 Oct 2022	5.0	Excellent Flexibility. Great colleagues. Open Culture	No problems. Excellent place to work
14	Talent Sourcer	 Sourcing Specialist	12 Oct 2022	4.0	"Great work life balance 
No micro management 
Comfortable workload"	"Not entirely open to new ideas 
Internal database not refined"
15	good experience	 Anonymous Contractor	14 Sep 2022	3.0	overall good learning experience, but tons of things to learn and study. so be prepared for all that.	Tons of things to study.
16	Interesting and challenging work	 Program Manager	12 Sep 2022	5.0	"flexible hours and WFH
positive corporate culture
interesting projects
learning opportunities"	"silos working in Asia
lack of growth
limited insurance and perks for contractors"
17	Diff culture	 Manager	28 Aug 2022	3.0	Very flexible working hours and encourage staff work life balance	No team work and all draw line
18	An ethical, inclusive & innovative company	 Product Marketing Manager/Senior PMM	26 Aug 2022	5.0	"1. Employee centric
2. Has a clear mission
3. Work-life balance
4. Flexibility
5. Infinite learning opportunities
6. Internal mobility"	"1. Complex 
2. Change of roles within teams"
19	Political	 Marketing Manager	24 Aug 2022	3.0	Goodplace to work for IC	"Too many internal reviews
Old timers politics"
20	Love it	 Software Engineer	15 Aug 2022	5.0	I am just loving it	Really nothing at all man
21	Energetic, Dynamic and Fast-paced Environment	 Channel Marketing Manager	7 Aug 2022	5.0	"The organization offers a lot of opportunities of learning, the benefits are great. You get to work with brilliant individuals who are motivated and capable. You also get to learn the intricacies of operating in a complex matrix organisation that spans the globe.
The organisation is also very inclusive, you can initiate projects that can contribute to the growth of the organisation."	"The on-boarding is very brief as everyone is very busy with their own roles and business unit's goal. You will be need to be a problem-solver and be resilient in the face of setbacks.
The bosses are also perhaps a little to politically correct, sometimes candidness can help build a stronger culture of trust."
22	Good company to work with	 Executive Assistant	22 Jul 2022	5.0	Great company culture, great people! The EA community is strong and united, lots of sharing!	Contract staff is limited to stay on the job for 18 months, can only come back after 6 months breaj
23	Supervisor	 Engineering Manager	16 Jul 2022	4.0	None of the above end.	Sometimes a wick this way
24	afaa	 Senior Manager	12 Jun 2022	4.0	good with work life balance	no comments overall is good
25	Great place to work	 Director	31 May 2022	5.0	Great culture, perks and collaboration	Large company to navigate, get to know people and build you own brand and network
26	Good Learning	 Compliance Analyst	24 May 2022	5.0	Good Environment and Learning Opportunities	There are currently no cons that I can think of
27	Business Manager	 Business Manager	3 May 2022	4.0	Work life balance and great culture	No clear career path and training for staff
28	Awesome to be part of great organization	 Senior Solutions Architect	2 May 2022	5.0	"Work with leading clients
Growth Mindset
Flexible work life balance"	Nothing I could remember as cons yet, may be free food at office :)
29	Good	 Prog Manager	9 Apr 2022	4.0	Good good good good good	None none none none none
30	Great company culture under Satya	 Industry Advisor	6 Apr 2022	5.0	Very understanding and open culture	Huge internal network to navigate
31	Good diversity and inclusion culture	 Anonymous Contractor	17 Mar 2022	4.0	Good pay, good vibes and inclusive.	Too prudent with budget that might cause you not to be converted.
32	Microsoft is Great	 ML/AI Engineer	28 Feb 2022	5.0	Very good company, Job security	This company has no cons
33	There is a big difference between internal and external employees treatment	 Program Manager	28 Feb 2022	3.0	"- very good salary
- cool activities, like online workout classes or Mental Health days
- it could be a ""retirement job"" with good work-life balance if you just to what is asked of you, and don't take any initiatives.
- very good and talented people. amazing opportunities to work on projects with people from across regions.
- the office is beautiful!
- work from home is encouraged, but you can practically work from anywhere!
- pride of working at a company like that"	"- as a contractor, I am delegated the tasks others don't want to do; there is no much impact of your job. even if you do take initiatives, it won't be noticed or rewarded. it often feels like contractors are invisible and irrelevant.

- the company is huge and it is very dispersed. sometimes communication between departments feels like you are communicating with a different company

- no clear processes on how to follow certain procedures, yet they all have to be compliant - you need to figure it out on your own

- there is a lack of culture of belonging, esp. in WFH era. I have only seen 2 of my colleagues in real life; and it's hard to feel connected with them. cultural events, learnings, activities are mostly targeted toward internal employees. external employees not always have access. I wanted to do a certification and upskilling, but it's not covered for me.

- I was given a work device with a damaged keyboard. the process to ask for a proper one is very hard and tedious.

- there is a clause that doesn't allow you to be hired by Microsoft again for 6 months after your contract ends. also, haven't heard of anyone who was able to convert from external to internal staff."
34	--	 Administrative Assistant	18 Feb 2022	3.0	"Comfortable environment
Easy work 
Good pantry"	"Non-transferable skills 
Office Politics
Not fulfilling work"
35	Good WLB	 Customer Engineer	17 Feb 2022	5.0	Good WLB and perks, colleagues are usually nice	Environment might be a little slow for someone who prefers things to be more fast paced
36	Customer Engineer	 Customer Engineer	8 Feb 2022	5.0	positive, good environment, career growth	they no real unlike cons
37	Nice place to work	 Project Manager	4 Feb 2022	4.0	Great team. Lots of opportunities to learn from people around here.	Need to work long hours. Late nights.
38	Na	 MFG Engineer II	4 Feb 2022	5.0	Not applicable to this section of the form	Very challenging environment and slow promotion
39	Great Culture	 Associate Product Manager	3 Feb 2022	5.0	Good people and working environment	None I can think of
40	Working at Microsoft	 Senior Program Manager	11 Jan 2022	4.0	Decent pay, good benefits, flexibility to work from home	"Operations jobs could get really slow and boring. Go work on the product side.

Singapore to US business travel will be in economy class unless you travel 4 times a year or are a Director or above. Several companies offer business class travel if the journey is more than 8 hours long."
41	My experience	 Partner Channel Marketing Manager	4 Jan 2022	4.0	Welcoming and hospitable vibe, always improving self in learning with the many moving parts in the business	may be overloaded with various business arms
42	Innovative and exciting place to work	 Human Resources	30 Dec 2021	5.0	Work life balance, flexibility, accessibility, diversity and inclusion	Lack of career progression at more senior levels
43	Great company	 Director	28 Dec 2021	5.0	great culture, feel you're at forefront of tech	big org with lots of politics and internal alignment
44	T	 SDM Manager	4 Dec 2021	4.0	Good global company with perks	High Stressed and high performance demand
45	Great place to build your work experience portfolio!	 Customer Success Engineer	24 Nov 2021	4.0	"Benefits and perks..
Awesome team members..
Leadership
People are respectful.."	career oppty to move to other internal roles are limited
46	overall good	 Training Program Manager	21 Nov 2021	4.0	all good so far, happy to work at.	I don't really have any cons.
47	Good	 Operations Management	16 Nov 2021	5.0	diversity and great benefit, great career advancement	Growing rapidly. Quite competitive environment
48	Very good	 Administrative Executive	7 Nov 2021	5.0	Getting to travel and bonuses	it's a normal office job
49	Good	 Cyber Security Engineer	1 Nov 2021	5.0	Their office looks quite nice	I don't have anything to complain
50	Microsoft Singapore	 Principal Program Manager	27 Oct 2021	5.0	"Excellent culture 
Great people 
Pay well and work is challenging"	you must be able to deal with ambiguity and management changes
51	Great Culture	 TA Lead	24 Oct 2021	5.0	Great culture and focus on D&I	Lots of red tape and decision making can be complex
52	Great company	 Operations Program Manager	21 Oct 2021	5.0	Great culture. A lot of focus on growth mindset and collaborations to achieve business objectives.	Career progression could be slow.
53	Very nice	 Anonymous Intern	15 Oct 2021	5.0	Nice environment, flexible time and can be a part of a competitive product	As an intern, all good for me
54	Specialist	 Intern	10 Oct 2021	4.0	Great team and great mentor	Big organization and hard to establish networking in short time
55	Replaced editors with ai	 Anonymous Contractor	7 Oct 2021	3.0	Ability to work from anywhere	No progression. Replaced global msn editors with ai in the middle of pandemic.
56	good company	 Software Engineer	4 Oct 2021	5.0	good staff, and good management	high working streess and wokload
57	Great Bosses!	 Compliance Manager	26 Sep 2021	5.0	Enployees are generally empowered to do their great work!	I worked with a great team and great Bosses, so generally no Cons!
58	Good company to work in	 Executive	22 Sep 2021	3.0	Lots of welfare benefits, friendly colleagues	Long working hours, management ain't sure what you are doing most of the time
